# Raw game results, one row per game, 1869-2025 (season,date,team1,score1,team2,score2).
# NOT wired into the Blue Blood Rating. Kept for a future head-to-head / margins feature.
# MAJOR-vs-MAJOR ONLY: no FBS-vs-FCS / small-college games, so it undercounts every
# program (pre-1936 is <50% covered). Do not use it to rebuild _staging_wins.csv.
# When wiring it up, add these name aliases: Southern Methodist->SMU,
# Alabama-Birmingham->UAB, North Carolina-Charlotte->Charlotte (plus strip " (ST)"
# state suffixes and map " St."->" State"). More pre-1936 data to come.
season,date,team1,score1,team2,score2
1883,1883-11-10,Lafayette (PA),25,Rutgers (NJ),0
1883,1883-11-14,Columbia (NY),1,Pennsylvania,35
1883,1883-11-17,Columbia (NY),0,Yale (CT),93
1883,1883-11-17,Harvard (MA),7,Princeton (NJ),26
1883,1883-11-17,Pennsylvania,18,Rutgers (NJ),0
1883,1883-11-21,Yale (CT),64,Michigan,0
1883,1883-11-22,Harvard (MA),3,Michigan,0
1883,1883-11-24,Lafayette (PA),11,Stevens Tech (NJ),14
1883,1883-11-24,Princeton (NJ),0,Yale (CT),6
1883,1883-11-27,Michigan,1,Stevens Tech (NJ),5
1883,1883-11-29,Harvard (MA),2,Yale (CT),23
1883,1883-11-29,Johns Hopkins (MD),2,Navy (MD),0
1883,1883-11-29,Pennsylvania,6,Stevens Tech (NJ),6
1883,1883-11-30,Bucknell (PA),0,Lafayette (PA),59
1883,1884-05-31,DePauw (IN),0,Butler (IN),16
1883,1884-05-31,DePauw (IN),4,Butler (IN),0
1884,1884-10-04,Princeton (NJ),23,Rutgers (NJ),5
1884,1884-10-08,Princeton (NJ),4,Stevens Tech (NJ),0
1884,1884-10-11,Yale (CT),96,Stevens Tech (NJ),0
1884,1884-10-15,Columbia (NY),5,Rutgers (NJ),37
1884,1884-10-18,Princeton (NJ),35,Rutgers (NJ),0
1884,1884-10-22,Harvard (MA),0,Pennsylvania,4
1884,1884-10-22,Yale (CT),76,Rutgers (NJ),10
1884,1884-10-25,Dartmouth (NH),0,Yale (CT),113
1884,1884-10-25,Lafayette (PA),50,Lehigh (PA),0
1884,1884-10-25,Pennsylvania,0,Princeton (NJ),31
1884,1884-10-29,Amherst (MA),13,Massachusetts,0
1884,1884-10-29,Lafayette (PA),0,Princeton (NJ),140
1884,1884-11-01,Lafayette (PA),0,Pennsylvania,21
1884,1884-11-01,Lehigh (PA),0,Rutgers (NJ),61
1884,1884-11-01,Princeton (NJ),56,Stevens Tech (NJ),0
1884,1884-11-08,Johns Hopkins (MD),0,Princeton (NJ),57
1884,1884-11-08,Lafayette (PA),0,Rutgers (NJ),26
1884,1884-11-08,Pennsylvania,30,Stevens Tech (NJ),0
1884,1884-11-12,Dartmouth (NH),0,Harvard (MA),29
1884,1884-11-12,Lafayette (PA),34,Lehigh (PA),4
