# Raw game results, one row per game, 1869-2025 (season,date,team1,score1,team2,score2).
# NOT wired into the Blue Blood Rating. Kept for a future head-to-head / margins feature.
# MAJOR-vs-MAJOR ONLY: no FBS-vs-FCS / small-college games, so it undercounts every
# program (pre-1936 is <50% covered). Do not use it to rebuild _staging_wins.csv.
# When wiring it up, add these name aliases: Southern Methodist->SMU,
# Alabama-Birmingham->UAB, North Carolina-Charlotte->Charlotte (plus strip " (ST)"
# state suffixes and map " St."->" State"). More pre-1936 data to come.
season,date,team1,score1,team2,score2
2009,2009-09-19,Michigan St.,30,Notre Dame (IN),33
2009,2009-09-19,Mississippi St.,15,Vanderbilt (TN),3
2009,2009-09-19,Navy (MD),14,Pittsburgh (PA),27
2009,2009-09-19,Nebraska,15,Virginia Tech,16
2009,2009-09-19,New Mexico St.,12,Texas-El Paso,38
2009,2009-09-19,Northern Illinois,28,Purdue (IN),21
2009,2009-09-19,Northwestern (IL),34,Syracuse (NY),37
2009,2009-09-19,Ohio St.,38,Toledo (OH),0
2009,2009-09-19,Oklahoma St.,41,Rice (TX),24
2009,2009-09-19,Oklahoma,45,Tulsa (OK),0
2009,2009-09-19,Oregon,31,Utah,24
2009,2009-09-19,Penn St.,31,Temple (PA),6
2009,2009-09-19,San Jose St. (CA),17,Stanford (CA),42
2009,2009-09-19,Southern California,13,Washington,16
2009,2009-09-19,Southern Methodist (TX),27,Washington St.,30
2009,2009-09-19,Southern Mississippi,37,Virginia,34
2009,2009-09-19,Texas A&M,38,Utah St.,30
2009,2009-09-19,Texas,34,Texas Tech,24
2009,2009-09-19,Troy (AL),27,Alabama-Birmingham,14
2009,2009-09-24,Mississippi,10,South Carolina,16
2009,2009-09-25,Missouri,31,Nevada,21
2009,2009-09-26,Air Force (CO),26,San Diego St. (CA),14
2009,2009-09-26,Akron (OH),21,Central Michigan,48
2009,2009-09-26,Alabama,35,Arkansas,7
2009,2009-09-26,Arizona St.,17,Georgia,20
2009,2009-09-26,Arizona,37,Oregon St.,32
2009,2009-09-26,Arkansas St.,27,Troy (AL),30
2009,2009-09-26,Army (NY),10,Iowa St.,31
2009,2009-09-26,Auburn (AL),54,Ball St. (IN),30
2009,2009-09-26,Boise St. (ID),49,Bowling Green (OH),14
2009,2009-09-26,Boston College (MA),27,Wake Forest (NC),24
2009,2009-09-26,Brigham Young (UT),42,Colorado St.,23
2009,2009-09-26,Buffalo (NY),13,Temple (PA),37
2009,2009-09-26,California,3,Oregon,42
2009,2009-09-26,Central Florida,14,East Carolina (NC),19
2009,2009-09-26,Cincinnati (OH),28,Fresno St. (CA),20
2009,2009-09-26,Clemson (SC),10,Texas Christian,14
2009,2009-09-26,Florida Atlantic,25,Louisiana-Monroe,27
2009,2009-09-26,Florida International,31,Toledo (OH),41
2009,2009-09-26,Florida St.,7,South Florida,17
2009,2009-09-26,Florida,41,Kentucky,7
2009,2009-09-26,Georgia Tech,24,North Carolina,7
2009,2009-09-26,Houston (TX),29,Texas Tech,28
2009,2009-09-26,Idaho,34,Northern Illinois,31
2009,2009-09-26,Illinois,0,Ohio St.,30
2009,2009-09-26,Indiana,33,Michigan,36
2009,2009-09-26,Iowa,21,Penn St.,10
2009,2009-09-26,Kansas,35,Southern Mississippi,28
2009,2009-09-26,Kent St. (OH),29,Miami (OH),19
2009,2009-09-26,Louisiana St.,30,Mississippi St.,26
2009,2009-09-26,Louisiana-Lafayette,0,Nebraska,55
2009,2009-09-26,Louisville (KY),14,Utah,30
2009,2009-09-26,Marshall (WV),27,Memphis (TN),16
2009,2009-09-26,Maryland,13,Rutgers (NJ),34
2009,2009-09-26,Miami (FL),7,Virginia Tech,31
2009,2009-09-26,Michigan St.,30,Wisconsin,38
2009,2009-09-26,Middle Tennessee St.,37,North Texas,21
2009,2009-09-26,Minnesota,35,Northwestern (IL),24
2009,2009-09-26,Navy (MD),38,Western Kentucky,22
2009,2009-09-26,Nevada-Las Vegas,27,Wyoming,30
2009,2009-09-26,New Mexico,17,New Mexico St.,20
2009,2009-09-26,North Carolina St.,38,Pittsburgh (PA),31
2009,2009-09-26,Notre Dame (IN),24,Purdue (IN),21
2009,2009-09-26,Ohio,23,Tennessee,34
2009,2009-09-26,Rice (TX),17,Vanderbilt (TN),36
2009,2009-09-26,Southern California,27,Washington St.,6
2009,2009-09-26,Stanford (CA),34,Washington,14
2009,2009-09-26,Texas A&M,56,Alabama-Birmingham,19
2009,2009-09-26,Texas,64,Texas-El Paso,7
2009,2009-09-30,Hawaii,6,Louisiana Tech,27
2009,2009-10-01,Colorado,24,West Virginia,35
2009,2009-10-01,Southern Mississippi,17,Alabama-Birmingham,30
2009,2009-10-02,Brigham Young (UT),35,Utah St.,17
2009,2009-10-02,Louisville (KY),10,Pittsburgh (PA),35
2009,2009-10-03,Air Force (CO),13,Navy (MD),16
2009,2009-10-03,Alabama,38,Kentucky,20
2009,2009-10-03,Arizona St.,17,Oregon St.,28
2009,2009-10-03,Arkansas St.,21,Iowa,24
2009,2009-10-03,Arkansas,47,Texas A&M,19
2009,2009-10-03,Army (NY),16,Tulane (LA),17
2009,2009-10-03,Auburn (AL),26,Tennessee,22
2009,2009-10-03,Ball St. (IN),30,Toledo (OH),37
2009,2009-10-03,Baylor (TX),31,Kent St. (OH),15
2009,2009-10-03,Boston College (MA),28,Florida St.,21
2009,2009-10-03,Bowling Green (OH),37,Ohio,44
2009,2009-10-03,Buffalo (NY),13,Central Michigan,20
2009,2009-10-03,California,3,Southern California,30
2009,2009-10-03,Central Florida,32,Memphis (TN),14
2009,2009-10-03,Cincinnati (OH),37,Miami (OH),13
2009,2009-10-03,Clemson (SC),21,Maryland,24
2009,2009-10-03,Colorado St.,29,Idaho,31
2009,2009-10-03,Duke (NC),26,Virginia Tech,34
2009,2009-10-03,East Carolina (NC),21,Marshall (WV),17
2009,2009-10-03,Eastern Michigan,12,Temple (PA),24
2009,2009-10-03,Florida Atlantic,28,Wyoming,30
2009,2009-10-03,Florida International,35,Louisiana-Monroe,48
2009,2009-10-03,Georgia Tech,42,Mississippi St.,31
2009,2009-10-03,Georgia,13,Louisiana St.,20
2009,2009-10-03,Houston (TX),41,Texas-El Paso,58
2009,2009-10-03,Illinois,17,Penn St.,35
2009,2009-10-03,Indiana,14,Ohio St.,33
2009,2009-10-03,Iowa St.,23,Kansas St.,24
2009,2009-10-03,Miami (FL),21,Oklahoma,20
2009,2009-10-03,Michigan,20,Michigan St.,26
2009,2009-10-03,Minnesota,28,Wisconsin,31
2009,2009-10-03,Mississippi,23,Vanderbilt (TN),7
2009,2009-10-03,Nevada,63,Nevada-Las Vegas,28
2009,2009-10-03,New Mexico St.,17,San Diego St. (CA),34
2009,2009-10-03,New Mexico,28,Texas Tech,48
2009,2009-10-03,North Carolina St.,24,Wake Forest (NC),30
2009,2009-10-03,North Carolina,3,Virginia,16
2009,2009-10-03,Northern Illinois,38,Western Michigan,3
2009,2009-10-03,Northwestern (IL),27,Purdue (IN),21
2009,2009-10-03,Notre Dame (IN),37,Washington,30
2009,2009-10-03,Oregon,52,Washington St.,6
2009,2009-10-03,Rice (TX),10,Tulsa (OK),27
2009,2009-10-03,South Florida,34,Syracuse (NY),20
2009,2009-10-03,Southern Methodist (TX),14,Texas Christian,39
2009,2009-10-03,Stanford (CA),24,UCLA,16
2009,2009-10-06,Middle Tennessee St.,7,Troy (AL),31
2009,2009-10-08,Missouri,12,Nebraska,27
2009,2009-10-09,Louisiana Tech,14,Nevada,37
2009,2009-10-10,Air Force (CO),17,Texas Christian,20
2009,2009-10-10,Akron (OH),7,Ohio,19
2009,2009-10-10,Alabama,22,Mississippi,3
2009,2009-10-10,Arizona St.,27,Washington St.,14
2009,2009-10-10,Arizona,33,Washington,36
2009,2009-10-10,Arkansas,44,Auburn (AL),23
2009,2009-10-10,Army (NY),16,Vanderbilt (TN),13
2009,2009-10-10,Ball St. (IN),19,Temple (PA),24
2009,2009-10-10,Baylor (TX),7,Oklahoma,33
2009,2009-10-10,Boston College (MA),14,Virginia Tech,48
2009,2009-10-10,Bowling Green (OH),36,Kent St. (OH),35
2009,2009-10-10,Brigham Young (UT),59,Nevada-Las Vegas,21
2009,2009-10-10,Central Michigan,56,Eastern Michigan,8
2009,2009-10-10,Colorado St.,17,Utah,24
2009,2009-10-10,Colorado,14,Texas,38
2009,2009-10-10,Connecticut,21,Pittsburgh (PA),24
2009,2009-10-10,Duke (NC),49,North Carolina St.,28
2009,2009-10-10,East Carolina (NC),21,Southern Methodist (TX),28
2009,2009-10-10,Florida International,37,Western Kentucky,20
2009,2009-10-10,Florida St.,44,Georgia Tech,49
2009,2009-10-10,Florida,13,Louisiana St.,3
2009,2009-10-10,Fresno St. (CA),42,Hawaii,17
2009,2009-10-10,Georgia,19,Tennessee,45
2009,2009-10-10,Houston (TX),31,Mississippi St.,24
2009,2009-10-10,Idaho,29,San Jose St. (CA),25
2009,2009-10-10,Illinois,14,Michigan St.,24
2009,2009-10-10,Indiana,7,Virginia,47
2009,2009-10-10,Iowa St.,36,Kansas,41
2009,2009-10-10,Iowa,30,Michigan,28
2009,2009-10-10,Kansas St.,14,Texas Tech,66
2009,2009-10-10,Kentucky,26,South Carolina,28
2009,2009-10-10,Louisiana-Lafayette,38,North Texas,34
2009,2009-10-10,Louisville (KY),25,Southern Mississippi,23
2009,2009-10-10,Marshall (WV),31,Tulane (LA),10
2009,2009-10-10,Maryland,32,Wake Forest (NC),42
2009,2009-10-10,Memphis (TN),35,Texas-El Paso,20
2009,2009-10-10,Miami (OH),6,Northwestern (IL),16
2009,2009-10-10,Minnesota,35,Purdue (IN),20
2009,2009-10-10,Navy (MD),63,Rice (TX),14
2009,2009-10-10,New Mexico St.,20,Utah St.,17
2009,2009-10-10,New Mexico,13,Wyoming,37
2009,2009-10-10,Ohio St.,31,Wisconsin,13
2009,2009-10-10,Oklahoma St.,36,Texas A&M,31
2009,2009-10-10,Oregon St.,38,Stanford (CA),28
2009,2009-10-10,Oregon,24,UCLA,10
2009,2009-10-10,Syracuse (NY),13,West Virginia,34
2009,2009-10-10,Toledo (OH),26,Western Michigan,58
2009,2009-10-13,Arkansas St.,10,Louisiana-Monroe,16
2009,2009-10-14,Boise St. (ID),28,Tulsa (OK),21
2009,2009-10-15,Cincinnati (OH),34,South Florida,17
2009,2009-10-16,Pittsburgh (PA),24,Rutgers (NJ),17
2009,2009-10-17,Air Force (CO),10,Wyoming,0
2009,2009-10-17,Akron (OH),17,Buffalo (NY),21
2009,2009-10-17,Alabama,20,South Carolina,6
2009,2009-10-17,Arizona St.,24,Washington,17
2009,2009-10-17,Arizona,43,Stanford (CA),38
2009,2009-10-17,Arkansas,20,Florida,23
2009,2009-10-17,Army (NY),13,Temple (PA),27
2009,2009-10-17,Auburn (AL),14,Kentucky,21
2009,2009-10-17,Ball St. (IN),17,Bowling Green (OH),31
2009,2009-10-17,Baylor (TX),10,Iowa St.,24
2009,2009-10-17,Boston College (MA),52,North Carolina St.,20
2009,2009-10-17,Brigham Young (UT),38,San Diego St. (CA),28
2009,2009-10-17,California,45,UCLA,26
2009,2009-10-17,Central Florida,7,Miami (FL),27
2009,2009-10-17,Central Michigan,34,Western Michigan,23
2009,2009-10-17,Clemson (SC),38,Wake Forest (NC),3
2009,2009-10-17,Colorado St.,6,Texas Christian,44
2009,2009-10-17,Colorado,34,Kansas,30
2009,2009-10-17,Connecticut,38,Louisville (KY),25
2009,2009-10-17,East Carolina (NC),49,Rice (TX),13
2009,2009-10-17,Eastern Michigan,6,Kent St. (OH),28
2009,2009-10-17,Florida Atlantic,44,North Texas,40
2009,2009-10-17,Florida International,33,Troy (AL),42
2009,2009-10-17,Fresno St. (CA),41,San Jose St. (CA),21
2009,2009-10-17,Georgia Tech,28,Virginia Tech,23
2009,2009-10-17,Georgia,34,Vanderbilt (TN),10
2009,2009-10-17,Hawaii,23,Idaho,35
2009,2009-10-17,Houston (TX),44,Tulane (LA),16
2009,2009-10-17,Illinois,14,Indiana,27
2009,2009-10-17,Iowa,20,Wisconsin,10
2009,2009-10-17,Kansas St.,62,Texas A&M,14
2009,2009-10-17,Louisiana Tech,45,New Mexico St.,7
2009,2009-10-17,Louisiana-Lafayette,30,Western Kentucky,22
2009,2009-10-17,Marshall (WV),7,West Virginia,24
2009,2009-10-17,Maryland,9,Virginia,20
2009,2009-10-17,Memphis (TN),16,Southern Mississippi,36
2009,2009-10-17,Miami (OH),7,Ohio,28
2009,2009-10-17,Michigan St.,24,Northwestern (IL),14
2009,2009-10-17,Middle Tennessee St.,6,Mississippi St.,27
2009,2009-10-17,Minnesota,0,Penn St.,20
2009,2009-10-17,Mississippi,48,Alabama-Birmingham,13
2009,2009-10-17,Missouri,17,Oklahoma St.,33
2009,2009-10-17,Navy (MD),38,Southern Methodist (TX),35
2009,2009-10-17,Nebraska,10,Texas Tech,31
2009,2009-10-17,Nevada,35,Utah St.,32
2009,2009-10-17,Nevada-Las Vegas,15,Utah,35
2009,2009-10-17,Northern Illinois,19,Toledo (OH),20
2009,2009-10-17,Notre Dame (IN),27,Southern California,34
2009,2009-10-17,Ohio St.,18,Purdue (IN),26
2009,2009-10-17,Oklahoma,13,Texas,16
2009,2009-10-21,Texas-El Paso,28,Tulsa (OK),24
2009,2009-10-22,Florida St.,30,North Carolina,27
2009,2009-10-23,Army (NY),10,Rutgers (NJ),27
2009,2009-10-24,Air Force (CO),16,Utah,23
2009,2009-10-24,Akron (OH),14,Syracuse (NY),28
2009,2009-10-24,Alabama,12,Tennessee,10
2009,2009-10-24,Arizona St.,14,Stanford (CA),33
2009,2009-10-24,Arizona,27,UCLA,13
2009,2009-10-24,Arkansas St.,27,Florida International,10
2009,2009-10-24,Arkansas,17,Mississippi,30
2009,2009-10-24,Auburn (AL),10,Louisiana St.,31
2009,2009-10-24,Ball St. (IN),29,Eastern Michigan,27
2009,2009-10-24,Baylor (TX),7,Oklahoma St.,34
2009,2009-10-24,Boise St. (ID),54,Hawaii,9
2009,2009-10-24,Boston College (MA),16,Notre Dame (IN),20
2009,2009-10-24,Bowling Green (OH),10,Central Michigan,24
2009,2009-10-24,Brigham Young (UT),7,Texas Christian,38
2009,2009-10-24,Buffalo (NY),31,Western Michigan,34
2009,2009-10-24,California,49,Washington St.,17
2009,2009-10-24,Central Florida,49,Rice (TX),7
2009,2009-10-24,Cincinnati (OH),41,Louisville (KY),10
2009,2009-10-24,Clemson (SC),40,Miami (FL),37
2009,2009-10-24,Colorado St.,28,San Diego St. (CA),42
2009,2009-10-24,Colorado,6,Kansas St.,20
2009,2009-10-24,Connecticut,24,West Virginia,28
2009,2009-10-24,Duke (NC),17,Maryland,13
2009,2009-10-24,Florida Atlantic,51,Louisiana-Lafayette,29
2009,2009-10-24,Florida,29,Mississippi St.,19
2009,2009-10-24,Fresno St. (CA),34,New Mexico St.,3
2009,2009-10-24,Georgia Tech,34,Virginia,9
2009,2009-10-24,Houston (TX),38,Southern Methodist (TX),15
2009,2009-10-24,Idaho,45,Nevada,70
2009,2009-10-24,Illinois,14,Purdue (IN),24
2009,2009-10-24,Indiana,28,Northwestern (IL),29
2009,2009-10-24,Iowa St.,9,Nebraska,7
2009,2009-10-24,Iowa,15,Michigan St.,13
2009,2009-10-24,Kansas,13,Oklahoma,35
2009,2009-10-24,Kent St. (OH),20,Ohio,11
2009,2009-10-24,Kentucky,36,Louisiana-Monroe,13
2009,2009-10-24,Louisiana Tech,21,Utah St.,23
2009,2009-10-24,Marshall (WV),27,Alabama-Birmingham,7
2009,2009-10-24,Miami (OH),22,Northern Illinois,27
2009,2009-10-24,Michigan,10,Penn St.,35
2009,2009-10-24,Middle Tennessee St.,62,Western Kentucky,24
2009,2009-10-24,Minnesota,7,Ohio St.,38
2009,2009-10-24,Missouri,7,Texas,41
2009,2009-10-24,Navy (MD),13,Wake Forest (NC),10
2009,2009-10-24,Nevada-Las Vegas,34,New Mexico,17
2009,2009-10-24,North Texas,26,Troy (AL),50
2009,2009-10-24,Oregon St.,36,Southern California,42
2009,2009-10-24,Oregon,43,Washington,19
2009,2009-10-24,Pittsburgh (PA),41,South Florida,14
2009,2009-10-24,South Carolina,14,Vanderbilt (TN),10
2009,2009-10-24,Southern Mississippi,43,Tulane (LA),6
2009,2009-10-24,Temple (PA),40,Toledo (OH),24
2009,2009-10-24,Texas A&M,52,Texas Tech,30
2009,2009-10-27,East Carolina (NC),38,Memphis (TN),19
2009,2009-10-29,Virginia Tech,17,North Carolina,20
2009,2009-10-30,South Florida,30,West Virginia,19
2009,2009-10-31,Air Force (CO),34,Colorado St.,16
2009,2009-10-31,Akron (OH),10,Northern Illinois,27
2009,2009-10-31,Arizona St.,21,California,23
2009,2009-10-31,Arkansas St.,13,Louisville (KY),21
2009,2009-10-31,Arkansas,63,Eastern Michigan,27
2009,2009-10-31,Auburn (AL),33,Mississippi,20
2009,2009-10-31,Ball St. (IN),17,Ohio,20
2009,2009-10-31,Baylor (TX),10,Nebraska,20
2009,2009-10-31,Boise St. (ID),45,San Jose St. (CA),7
2009,2009-10-31,Boston College (MA),31,Central Michigan,10
2009,2009-10-31,Cincinnati (OH),28,Syracuse (NY),7
2009,2009-10-31,Colorado,17,Missouri,36
2009,2009-10-31,Connecticut,24,Rutgers (NJ),28
2009,2009-10-31,Duke (NC),28,Virginia,17
2009,2009-10-31,Florida Atlantic,20,Middle Tennessee St.,27
2009,2009-10-31,Florida International,20,Louisiana-Lafayette,17
2009,2009-10-31,Florida St.,45,North Carolina St.,42
2009,2009-10-31,Florida,41,Georgia,17
2009,2009-10-31,Fresno St. (CA),31,Utah St.,27
2009,2009-10-31,Georgia Tech,56,Vanderbilt (TN),31
2009,2009-10-31,Hawaii,21,Nevada,31
2009,2009-10-31,Houston (TX),50,Southern Mississippi,43
2009,2009-10-31,Idaho,35,Louisiana Tech,34
2009,2009-10-31,Illinois,38,Michigan,13
2009,2009-10-31,Indiana,24,Iowa,42
2009,2009-10-31,Iowa St.,10,Texas A&M,35
2009,2009-10-31,Kansas St.,30,Oklahoma,42
2009,2009-10-31,Kansas,21,Texas Tech,42
2009,2009-10-31,Kent St. (OH),26,Western Michigan,14
2009,2009-10-31,Kentucky,24,Mississippi St.,31
2009,2009-10-31,Louisiana St.,42,Tulane (LA),0
2009,2009-10-31,Louisiana-Monroe,21,Troy (AL),42
2009,2009-10-31,Miami (FL),28,Wake Forest (NC),27
2009,2009-10-31,Miami (OH),31,Toledo (OH),24
2009,2009-10-31,Michigan St.,34,Minnesota,42
2009,2009-10-31,Navy (MD),24,Temple (PA),27
2009,2009-10-31,Nevada-Las Vegas,0,Texas Christian,41
2009,2009-10-31,New Mexico St.,0,Ohio St.,45
2009,2009-10-31,New Mexico,20,San Diego St. (CA),23
2009,2009-10-31,North Texas,68,Western Kentucky,49
2009,2009-10-31,Northwestern (IL),13,Penn St.,34
2009,2009-10-31,Notre Dame (IN),40,Washington St.,14
2009,2009-10-31,Oklahoma St.,14,Texas,41
2009,2009-10-31,Oregon St.,26,UCLA,19
2009,2009-10-31,Oregon,47,Southern California,20
2009,2009-10-31,Purdue (IN),0,Wisconsin,37
2009,2009-10-31,South Carolina,13,Tennessee,31
2009,2009-10-31,Southern Methodist (TX),27,Tulsa (OK),13
2009,2009-10-31,Texas-El Paso,33,Alabama-Birmingham,38
2009,2009-10-31,Utah,22,Wyoming,10
2009,2009-11-01,Central Florida,21,Marshall (WV),20
2009,2009-11-03,Bowling Green (OH),30,Buffalo (NY),29
2009,2009-11-05,East Carolina (NC),3,Virginia Tech,16
2009,2009-11-05,Eastern Michigan,6,Northern Illinois,50
2009,2009-11-05,Miami (OH),32,Temple (PA),34
2009,2009-11-06,Boise St. (ID),45,Louisiana Tech,35
2009,2009-11-07,Air Force (CO),35,Army (NY),7
2009,2009-11-07,Akron (OH),28,Kent St. (OH),20
2009,2009-11-07,Alabama,24,Louisiana St.,15
2009,2009-11-07,Arizona St.,9,Southern California,14
2009,2009-11-07,Arizona,48,Washington St.,7
2009,2009-11-07,Arkansas St.,18,Louisiana-Lafayette,21
2009,2009-11-07,Arkansas,33,South Carolina,16
2009,2009-11-07,Baylor (TX),40,Missouri,32
2009,2009-11-07,Brigham Young (UT),52,Wyoming,0
2009,2009-11-07,California,14,Oregon St.,31
2009,2009-11-07,Central Florida,3,Texas,35
2009,2009-11-07,Cincinnati (OH),47,Connecticut,45
2009,2009-11-07,Clemson (SC),40,Florida St.,24
2009,2009-11-07,Colorado St.,16,Nevada-Las Vegas,35
2009,2009-11-07,Colorado,35,Texas A&M,34
2009,2009-11-07,Duke (NC),6,North Carolina,19
2009,2009-11-07,Florida Atlantic,29,Alabama-Birmingham,56
2009,2009-11-07,Florida International,21,Middle Tennessee St.,48
2009,2009-11-07,Florida,27,Vanderbilt (TN),3
2009,2009-11-07,Fresno St. (CA),31,Idaho,21
2009,2009-11-07,Georgia Tech,30,Wake Forest (NC),27
2009,2009-11-07,Hawaii,49,Utah St.,36
2009,2009-11-07,Houston (TX),46,Tulsa (OK),45
2009,2009-11-07,Illinois,35,Minnesota,32
2009,2009-11-07,Indiana,28,Wisconsin,31
2009,2009-11-07,Iowa St.,8,Oklahoma St.,34
2009,2009-11-07,Iowa,10,Northwestern (IL),17
2009,2009-11-07,Kansas,10,Kansas St.,17
2009,2009-11-07,Louisiana-Monroe,33,North Texas,6
2009,2009-11-07,Louisville (KY),9,West Virginia,17
2009,2009-11-07,Maryland,31,North Carolina St.,38
2009,2009-11-07,Memphis (TN),28,Tennessee,56
2009,2009-11-07,Miami (FL),52,Virginia,17
2009,2009-11-07,Michigan St.,49,Western Michigan,14
2009,2009-11-07,Michigan,36,Purdue (IN),38
2009,2009-11-07,Navy (MD),23,Notre Dame (IN),21
2009,2009-11-07,Nebraska,10,Oklahoma,3
2009,2009-11-07,New Mexico,14,Utah,45
2009,2009-11-07,Ohio St.,24,Penn St.,7
2009,2009-11-07,Oregon,42,Stanford (CA),51
2009,2009-11-07,Pittsburgh (PA),37,Syracuse (NY),10
2009,2009-11-07,Rice (TX),28,Southern Methodist (TX),31
2009,2009-11-07,San Diego St. (CA),12,Texas Christian,55
2009,2009-11-07,Texas-El Paso,38,Tulane (LA),45
2009,2009-11-07,Troy (AL),40,Western Kentucky,20
2009,2009-11-07,UCLA,24,Washington,23
2009,2009-11-08,Nevada,62,San Jose St. (CA),7
2009,2009-11-10,Buffalo (NY),24,Ohio,27
2009,2009-11-11,Central Michigan,56,Toledo (OH),28
2009,2009-11-12,Ball St. (IN),20,Northern Illinois,26
2009,2009-11-12,Bowling Green (OH),35,Miami (OH),14
2009,2009-11-12,Rutgers (NJ),31,South Florida,0
2009,2009-11-13,Akron (OH),17,Temple (PA),56
2009,2009-11-13,Cincinnati (OH),24,West Virginia,21
2009,2009-11-14,Air Force (CO),45,Nevada-Las Vegas,17
2009,2009-11-14,Alabama,31,Mississippi St.,3
2009,2009-11-14,Arizona St.,21,Oregon,44
2009,2009-11-14,Arizona,16,California,24
2009,2009-11-14,Arkansas St.,18,Florida Atlantic,35
2009,2009-11-14,Arkansas,56,Troy (AL),20
2009,2009-11-14,Auburn (AL),24,Georgia,31
2009,2009-11-14,Baylor (TX),14,Texas,47
2009,2009-11-14,Boise St. (ID),63,Idaho,25
2009,2009-11-14,Boston College (MA),14,Virginia,10
2009,2009-11-14,Brigham Young (UT),24,New Mexico,19
2009,2009-11-14,Central Florida,37,Houston (TX),32
2009,2009-11-14,Clemson (SC),43,North Carolina St.,23
2009,2009-11-14,Colorado,10,Iowa St.,17
2009,2009-11-14,Duke (NC),10,Georgia Tech,49
2009,2009-11-14,Eastern Michigan,14,Western Michigan,35
2009,2009-11-14,Florida International,35,North Texas,28
2009,2009-11-14,Florida St.,41,Wake Forest (NC),28
2009,2009-11-14,Florida,24,South Carolina,14
2009,2009-11-14,Fresno St. (CA),14,Nevada,52
2009,2009-11-14,Hawaii,24,New Mexico St.,6
2009,2009-11-14,Illinois,16,Northwestern (IL),21
2009,2009-11-14,Indiana,20,Penn St.,31
2009,2009-11-14,Iowa,24,Ohio St.,27
2009,2009-11-14,Kansas St.,12,Missouri,38
2009,2009-11-14,Kansas,17,Nebraska,31
2009,2009-11-14,Kentucky,24,Vanderbilt (TN),13
2009,2009-11-14,Louisiana St.,24,Louisiana Tech,16
2009,2009-11-14,Louisiana-Lafayette,17,Middle Tennessee St.,34
2009,2009-11-14,Louisiana-Monroe,21,Western Kentucky,18
2009,2009-11-14,Louisville (KY),10,Syracuse (NY),9
2009,2009-11-14,Marshall (WV),20,Southern Mississippi,27
2009,2009-11-14,Maryland,9,Virginia Tech,36
2009,2009-11-14,Memphis (TN),21,Alabama-Birmingham,31
2009,2009-11-14,Miami (FL),24,North Carolina,33
2009,2009-11-14,Michigan St.,40,Purdue (IN),37
2009,2009-11-14,Michigan,24,Wisconsin,45
2009,2009-11-14,Mississippi,42,Tennessee,17
2009,2009-11-14,Notre Dame (IN),22,Pittsburgh (PA),27
2009,2009-11-14,Oklahoma St.,24,Texas Tech,17
2009,2009-11-14,Oklahoma,65,Texas A&M,10
2009,2009-11-14,Oregon St.,48,Washington,21
2009,2009-11-14,Rice (TX),28,Tulane (LA),20
2009,2009-11-14,San Diego St. (CA),27,Wyoming,30
2009,2009-11-14,San Jose St. (CA),9,Utah St.,24
2009,2009-11-14,Southern California,21,Stanford (CA),55
2009,2009-11-14,Southern Methodist (TX),35,Texas-El Paso,31
2009,2009-11-14,Texas Christian,55,Utah,28
2009,2009-11-14,UCLA,43,Washington St.,7
2009,2009-11-15,East Carolina (NC),44,Tulsa (OK),17
2009,2009-11-18,Ball St. (IN),3,Central Michigan,35
2009,2009-11-18,Buffalo (NY),42,Miami (OH),17
2009,2009-11-19,Colorado,28,Oklahoma St.,31
2009,2009-11-20,Akron (OH),20,Bowling Green (OH),36
2009,2009-11-20,Boise St. (ID),52,Utah St.,21
2009,2009-11-20,Eastern Michigan,21,Toledo (OH),47
2009,2009-11-21,Air Force (CO),21,Brigham Young (UT),38
2009,2009-11-21,Arizona St.,13,UCLA,23
2009,2009-11-21,Arizona,41,Oregon,44
2009,2009-11-21,Arkansas St.,14,Middle Tennessee St.,38
2009,2009-11-21,Arkansas,42,Mississippi St.,21
2009,2009-11-21,Army (NY),17,North Texas,13
2009,2009-11-21,Baylor (TX),3,Texas A&M,38
2009,2009-11-21,Boston College (MA),13,North Carolina,31
2009,2009-11-21,California,34,Stanford (CA),28
2009,2009-11-21,Central Florida,49,Tulane (LA),0
2009,2009-11-21,Clemson (SC),34,Virginia,21
2009,2009-11-21,Colorado St.,27,New Mexico,29
2009,2009-11-21,Connecticut,33,Notre Dame (IN),30
2009,2009-11-21,Duke (NC),16,Miami (FL),34
2009,2009-11-21,East Carolina (NC),37,Alabama-Birmingham,21
2009,2009-11-21,Florida Atlantic,21,Troy (AL),47
2009,2009-11-21,Florida St.,29,Maryland,26
2009,2009-11-21,Florida,62,Florida International,3
2009,2009-11-21,Fresno St. (CA),30,Louisiana Tech,28
2009,2009-11-21,Georgia,27,Kentucky,34
2009,2009-11-21,Hawaii,17,San Jose St. (CA),10
2009,2009-11-21,Houston (TX),55,Memphis (TN),14
2009,2009-11-21,Indiana,21,Purdue (IN),38
2009,2009-11-21,Iowa St.,24,Missouri,34
2009,2009-11-21,Iowa,12,Minnesota,0
2009,2009-11-21,Kansas St.,3,Nebraska,17
2009,2009-11-21,Kansas,20,Texas,51
2009,2009-11-21,Kent St. (OH),13,Temple (PA),47
2009,2009-11-21,Louisiana St.,23,Mississippi,25
2009,2009-11-21,Louisiana-Lafayette,21,Louisiana-Monroe,17
2009,2009-11-21,Louisville (KY),22,South Florida,34
2009,2009-11-21,Marshall (WV),34,Southern Methodist (TX),31
2009,2009-11-21,Michigan St.,14,Penn St.,42
