# One (school, season) record. Hand-maintained — no automated process writes here.
#   source=history       per-season W-L-T. Covers 1936->present for every program,
#     plus 1869-1935 wherever game-level records survive (every game in which one
#     side is a current FBS program contributes a W / L / T; a tie for both sides
#     on equal scores). Sparse before ~1905, so those early totals sit below the book.
#   source=ncaa          one row (1935) per program in _staging_wins_ncaa.csv; sized so the
#     all-time OFFICIAL total (as-played minus wins_vacated) matches the NCAA "FBS
#     Records" book through its `through` year, with the live current season on top.
#   source=ncaa-history  per-season rows from a program's NCAA stats.org team
#     history page (stats.ncaa.org/teams/history), used where we hold no game-level
#     data and the program is not in the FBS Records book (Jacksonville St., Sam
#     Houston, Missouri St. — their full pre-2003 record).
#   source=manual        any hand rows.
# A tie counts as half a win in win %.
# wins_vacated / losses_vacated: NCAA-vacated results - removed only in the
#   "NCAA official" wins toggle; the trajectory and default view use as-played.
school,season,wins,losses,ties,wins_vacated,losses_vacated,vacated_note,source
# --- 6 programs added Aug 2026 (JMU, Jax State, Sam Houston, Kennesaw, Delaware, Missouri State) ---
# Per-season 2003-2025 rows; a few clearly-partial seasons hand-corrected (Jax State 2013, Sam Houston 2008 & 2022).
# The season=1935 row is a pre-2003 all-time LUMP (W-L-T) from published program records —
#   VERIFY against each media guide. Kennesaw State (football since 2015) needs no lump.
Texas A&M,1996,6,6,0,,,,history
Texas A&M,1997,9,4,0,,,,history
Texas A&M,1998,11,3,0,,,,history
Texas A&M,1999,8,4,0,,,,history
Texas A&M,2000,7,5,0,,,,history
Texas A&M,2001,8,4,0,,,,history
Texas A&M,2002,6,6,0,,,,history
Texas A&M,2003,4,8,0,,,,history
Texas A&M,2004,7,5,0,,,,history
Texas A&M,2005,5,6,0,,,,history
Texas A&M,2006,9,4,0,,,,history
Texas A&M,2007,7,6,0,,,,history
Texas A&M,2008,4,8,0,,,,history
Texas A&M,2009,6,7,0,,,,history
Texas A&M,2010,9,4,0,,,,history
Texas A&M,2011,7,6,0,,,,history
Texas A&M,2012,11,2,0,,,,history
Texas A&M,2013,9,4,0,,,,history
Texas A&M,2014,8,5,0,,,,history
Texas A&M,2015,8,5,0,,,,history
Texas A&M,2016,8,5,0,,,,history
Texas A&M,2017,7,6,0,,,,history
Texas A&M,2018,9,4,0,,,,history
Texas A&M,2019,8,5,0,,,,history
Texas A&M,2020,9,1,0,,,,history
Texas A&M,2021,8,4,0,,,,history
Texas A&M,2022,5,7,0,,,,history
Texas A&M,2023,7,6,0,,,,history
Texas A&M,2024,8,5,0,,,,history
Texas A&M,2025,11,2,0,,,,history
Texas State,1909,0,1,0,,,,history
Texas State,1913,0,1,0,,,,history
Texas State,1916,0,1,0,,,,history
Texas State,1918,0,1,0,,,,history
Texas State,1919,0,2,0,,,,history
Texas State,1920,0,1,1,,,,history
Texas State,1921,1,0,0,,,,history
Texas State,1923,1,0,0,,,,history
Texas State,1930,0,1,0,,,,history
Texas State,1936,0,0,0,,,,history
Texas State,1937,0,0,0,,,,history
Texas State,1938,0,0,0,,,,history
Texas State,1939,0,0,0,,,,history
Texas State,1940,0,0,0,,,,history
Texas State,1941,0,0,0,,,,history
Texas State,1942,0,0,0,,,,history
Texas State,1946,0,0,0,,,,history
Texas State,1947,0,0,0,,,,history
Texas State,1948,0,0,0,,,,history
Texas State,1949,0,0,0,,,,history
Texas State,1950,0,0,0,,,,history
Texas State,1951,0,0,0,,,,history
Texas State,1952,0,0,0,,,,history
Texas State,1953,0,0,0,,,,history
Texas State,1954,0,0,0,,,,history
Texas State,1955,0,0,0,,,,history
Texas State,1956,0,0,0,,,,history
Texas State,1957,0,0,0,,,,history
Texas State,1958,0,0,0,,,,history
Texas State,1959,0,0,0,,,,history
Texas State,1960,0,0,0,,,,history
Texas State,1961,0,0,0,,,,history
Texas State,1962,0,0,0,,,,history
Texas State,1963,0,0,0,,,,history
Texas State,1964,0,0,0,,,,history
Texas State,1965,0,0,0,,,,history
Texas State,1966,0,0,0,,,,history
Texas State,1967,0,0,0,,,,history
Texas State,1968,0,0,0,,,,history
Texas State,1969,0,0,0,,,,history
Texas State,1970,0,0,0,,,,history
Texas State,1971,0,0,0,,,,history
Texas State,1972,0,0,0,,,,history
Texas State,1973,0,0,0,,,,history
Texas State,1974,0,0,0,,,,history
Texas State,1975,0,0,0,,,,history
Texas State,1976,0,0,0,,,,history
Texas State,1977,0,1,0,,,,history
Texas State,1978,0,0,0,,,,history
Texas State,1979,0,0,0,,,,history
Texas State,1980,0,1,0,,,,history
Texas State,1981,1,0,0,,,,history
Texas State,1982,0,0,0,,,,history
Texas State,1983,0,0,0,,,,history
Texas State,1984,1,0,0,,,,history
Texas State,1985,0,1,0,,,,history
Texas State,1986,1,0,0,,,,history
Texas State,1987,0,2,0,,,,history
Texas State,1988,0,1,0,,,,history
Texas State,1989,0,0,0,,,,history
Texas State,1990,0,0,0,,,,history
Texas State,1991,0,0,0,,,,history
Texas State,1992,0,0,0,,,,history
Texas State,1993,0,0,0,,,,history
Texas State,1994,0,1,0,,,,history
Texas State,1995,0,0,0,,,,history
Texas State,1996,1,0,0,,,,history
Texas State,1997,0,0,0,,,,history
Texas State,1998,0,0,0,,,,history
Texas State,1999,0,0,0,,,,history
Texas State,2000,1,1,0,,,,history
Texas State,2001,0,1,0,,,,history
Texas State,2002,0,1,0,,,,history
Texas State,2003,4,8,0,,,,history
Texas State,2004,5,7,0,,,,history
Texas State,2005,11,2,0,,,,history
Texas State,2006,5,6,0,,,,history
Texas State,2007,3,7,0,,,,history
Texas State,2008,3,2,0,,,,history
Texas State,2009,7,4,0,,,,history
Texas State,2010,4,6,0,,,,history
Texas State,2011,6,6,0,,,,history
Texas State,2012,4,8,0,,,,history
Texas State,2013,6,6,0,,,,history
Texas State,2014,7,5,0,,,,history
Texas State,2015,3,9,0,,,,history
Texas State,2016,2,10,0,,,,history
Texas State,2017,2,10,0,,,,history
Texas State,2018,3,9,0,,,,history
Texas State,2019,3,9,0,,,,history
Texas State,2020,2,10,0,,,,history
Texas State,2021,4,8,0,,,,history
Texas State,2022,4,8,0,,,,history
Texas State,2023,8,5,0,,,,history
Texas State,2024,8,5,0,,,,history
Texas State,2025,7,6,0,,,,history
Texas Tech,1926,0,1,0,,,,history
Texas Tech,1927,0,2,0,,,,history
Texas Tech,1928,0,2,0,,,,history
Texas Tech,1929,0,2,0,,,,history
Texas Tech,1930,0,1,0,,,,history
Texas Tech,1931,3,1,0,,,,history
Texas Tech,1932,10,2,0,,,,history
Texas Tech,1933,8,1,0,,,,history
Texas Tech,1934,7,2,1,,,,history
Texas Tech,1935,5,3,2,,,,history
Texas Tech,1936,5,4,1,,,,history
Texas Tech,1937,8,4,0,,,,history
Texas Tech,1938,10,1,0,,,,history
Texas Tech,1939,5,5,1,,,,history
Texas Tech,1940,9,1,1,,,,history
Texas Tech,1941,9,2,0,,,,history
Texas Tech,1942,4,5,1,,,,history
Texas Tech,1943,4,6,0,,,,history
Texas Tech,1944,4,7,0,,,,history
Texas Tech,1945,3,5,2,,,,history
Texas Tech,1946,8,3,0,,,,history
Texas Tech,1947,6,5,0,,,,history
Texas Tech,1948,7,3,0,,,,history
Texas Tech,1949,7,5,0,,,,history
Texas Tech,1950,3,8,0,,,,history
Texas Tech,1951,7,4,0,,,,history
Texas Tech,1952,3,7,1,,,,history
Texas Tech,1953,11,1,0,,,,history
Texas Tech,1954,7,2,1,,,,history
Texas Tech,1955,7,3,1,,,,history
Texas Tech,1956,2,7,1,,,,history
Texas Tech,1957,2,8,0,,,,history
Texas Tech,1958,3,7,0,,,,history
Texas Tech,1959,4,6,0,,,,history
Texas Tech,1960,3,6,1,,,,history
Texas Tech,1961,4,6,0,,,,history
Texas Tech,1962,1,9,0,,,,history
Texas Tech,1963,5,5,0,,,,history
Texas Tech,1964,6,4,1,,,,history
Texas Tech,1965,8,3,0,,,,history
Texas Tech,1966,4,6,0,,,,history
Texas Tech,1967,6,4,0,,,,history
Texas Tech,1968,5,3,2,,,,history
Texas Tech,1969,5,5,0,,,,history
Texas Tech,1970,8,4,0,,,,history
Texas Tech,1971,4,7,0,,,,history
Texas Tech,1972,8,4,0,,,,history
Texas Tech,1973,11,1,0,,,,history
Texas Tech,1974,6,4,2,,,,history
Texas Tech,1975,6,5,0,,,,history
Texas Tech,1976,10,2,0,,,,history
Texas Tech,1977,7,5,0,,,,history
Texas Tech,1978,7,4,0,,,,history
Texas Tech,1979,3,6,2,,,,history
Texas Tech,1980,5,6,0,,,,history
Texas Tech,1981,1,9,1,,,,history
Texas Tech,1982,4,7,0,,,,history
Texas Tech,1983,3,7,1,,,,history
Texas Tech,1984,4,7,0,,,,history
Texas Tech,1985,4,7,0,,,,history
Texas Tech,1986,7,5,0,,,,history
Texas Tech,1987,6,4,1,,,,history
Texas Tech,1988,5,6,0,,,,history
Texas Tech,1989,9,3,0,,,,history
Texas Tech,1990,4,7,0,,,,history
Texas Tech,1991,6,5,0,,,,history
Texas Tech,1992,5,6,0,,,,history
Texas Tech,1993,6,6,0,,,,history
Texas Tech,1994,6,6,0,,,,history
Texas Tech,1995,9,3,0,,,,history
Texas Tech,1996,7,5,0,,,,history
Texas Tech,1997,6,5,0,,,,history
Texas Tech,1998,7,5,0,,,,history
Texas Tech,1999,6,5,0,,,,history
Texas Tech,2000,7,6,0,,,,history
Texas Tech,2001,7,5,0,,,,history
Texas Tech,2002,9,5,0,,,,history
Texas Tech,2003,8,5,0,,,,history
Texas Tech,2004,8,4,0,,,,history
Texas Tech,2005,9,3,0,,,,history
Texas Tech,2006,8,5,0,,,,history
Texas Tech,2007,9,4,0,,,,history
Texas Tech,2008,11,2,0,,,,history
Texas Tech,2009,9,4,0,,,,history
Texas Tech,2010,8,5,0,,,,history
Texas Tech,2011,5,7,0,,,,history
Texas Tech,2012,8,5,0,,,,history
Texas Tech,2013,8,5,0,,,,history
Texas Tech,2014,4,8,0,,,,history
Texas Tech,2015,7,6,0,,,,history
Texas Tech,2016,5,7,0,,,,history
Texas Tech,2017,6,7,0,,,,history
Texas Tech,2018,5,7,0,,,,history
Texas Tech,2019,4,8,0,,,,history
Texas Tech,2020,4,6,0,,,,history
Texas Tech,2021,7,6,0,,,,history
Texas Tech,2022,8,5,0,,,,history
Texas Tech,2023,7,6,0,,,,history
Texas Tech,2024,8,5,0,,,,history
Texas Tech,2025,12,2,0,,,,history
Toledo,1923,0,1,0,,,,history
Toledo,1924,0,1,0,,,,history
Toledo,1925,0,1,0,,,,history
Toledo,1936,0,0,0,,,,history
Toledo,1937,0,1,0,,,,history
Toledo,1938,0,0,0,,,,history
Toledo,1939,0,0,0,,,,history
Toledo,1940,0,0,0,,,,history
Toledo,1941,0,0,0,,,,history
Toledo,1942,0,0,0,,,,history
Toledo,1946,0,1,0,,,,history
Toledo,1947,0,0,0,,,,history
Toledo,1948,0,1,0,,,,history
Toledo,1949,0,0,0,,,,history
Toledo,1950,1,0,0,,,,history
Toledo,1951,1,1,0,,,,history
Toledo,1952,0,0,0,,,,history
Toledo,1953,0,0,0,,,,history
Toledo,1954,0,0,0,,,,history
Toledo,1955,1,0,0,,,,history
Toledo,1956,0,0,0,,,,history
Toledo,1957,0,0,0,,,,history
Toledo,1958,0,0,0,,,,history
Toledo,1959,0,0,0,,,,history
Toledo,1960,0,0,0,,,,history
Toledo,1961,0,1,0,,,,history
Toledo,1962,3,6,0,,,,history
Toledo,1963,2,7,0,,,,history
Toledo,1964,2,8,0,,,,history
Toledo,1965,5,5,0,,,,history
Toledo,1966,2,7,1,,,,history
Toledo,1967,9,1,0,,,,history
Toledo,1968,5,4,1,,,,history
Toledo,1969,11,0,0,,,,history
Toledo,1970,12,0,0,,,,history
Toledo,1971,12,0,0,,,,history
Toledo,1972,6,5,0,,,,history
Toledo,1973,3,8,0,,,,history
Toledo,1974,6,5,0,,,,history
Toledo,1975,5,6,0,,,,history
Toledo,1976,3,8,0,,,,history
Toledo,1977,2,9,0,,,,history
Toledo,1978,2,9,0,,,,history
Toledo,1979,7,3,1,,,,history
Toledo,1980,4,7,0,,,,history
Toledo,1981,9,3,0,,,,history
Toledo,1982,6,5,0,,,,history
Toledo,1983,9,2,0,,,,history
Toledo,1984,8,3,1,,,,history
Toledo,1985,4,7,0,,,,history
Toledo,1986,7,4,0,,,,history
Toledo,1987,3,7,1,,,,history
Toledo,1988,6,5,0,,,,history
Toledo,1989,6,5,0,,,,history
Toledo,1990,9,2,0,,,,history
Toledo,1991,5,5,1,,,,history
Toledo,1992,8,3,0,,,,history
Toledo,1993,4,7,0,,,,history
Toledo,1994,6,4,1,,,,history
Toledo,1995,11,0,1,,,,history
Toledo,1996,7,4,0,,,,history
Toledo,1997,9,3,0,,,,history
Toledo,1998,7,5,0,,,,history
Toledo,1999,6,5,0,,,,history
Toledo,2000,10,1,0,,,,history
Toledo,2001,10,2,0,,,,history
Toledo,2002,9,5,0,,,,history
Toledo,2003,8,4,0,,,,history
Toledo,2004,9,4,0,,,,history
Toledo,2005,9,3,0,,,,history
Toledo,2006,5,7,0,,,,history
Toledo,2007,5,7,0,,,,history
Toledo,2008,3,9,0,,,,history
Toledo,2009,5,7,0,,,,history
Toledo,2010,8,5,0,,,,history
Toledo,2011,9,4,0,,,,history
Toledo,2012,9,4,0,,,,history
Toledo,2013,7,5,0,,,,history
Toledo,2014,9,4,0,,,,history
Toledo,2015,10,2,0,,,,history
Toledo,2016,9,4,0,,,,history
Toledo,2017,11,3,0,,,,history
Toledo,2018,7,6,0,,,,history
Toledo,2019,6,6,0,,,,history
Toledo,2020,4,2,0,,,,history
Toledo,2021,7,6,0,,,,history
Toledo,2022,9,5,0,,,,history
Toledo,2023,11,3,0,,,,history
Toledo,2024,8,5,0,,,,history
Toledo,2025,8,5,0,,,,history
Troy,1935,0,1,0,,,,history
Troy,1970,0,0,0,,,,history
Troy,1971,0,0,0,,,,history
Troy,1972,0,0,0,,,,history
Troy,1973,0,0,0,,,,history
Troy,1974,0,0,0,,,,history
Troy,1975,0,0,0,,,,history
Troy,1976,0,0,0,,,,history
Troy,1977,0,1,0,,,,history
Troy,1978,0,0,0,,,,history
Troy,1979,0,0,0,,,,history
Troy,1980,0,0,0,,,,history
Troy,1981,0,0,0,,,,history
Troy,1982,0,0,0,,,,history
Troy,1983,0,0,0,,,,history
Troy,1984,0,0,0,,,,history
Troy,1985,0,0,0,,,,history
Troy,1986,0,0,0,,,,history
Troy,1987,0,0,0,,,,history
Troy,1988,0,0,0,,,,history
Troy,1989,0,0,0,,,,history
Troy,1990,0,0,0,,,,history
Troy,1991,0,1,0,,,,history
Troy,1992,1,0,0,,,,history
Troy,1993,0,0,0,,,,history
Troy,1994,1,1,0,,,,history
Troy,1995,1,0,0,,,,history
Troy,1996,0,0,0,,,,history
Troy,1997,0,0,0,,,,history
Troy,1998,0,1,0,,,,history
Troy,1999,2,0,0,,,,history
Troy,2000,0,1,0,,,,history
Troy,2001,7,4,0,,,,history
Troy,2002,4,8,0,,,,history
Troy,2003,6,6,0,,,,history
Troy,2004,7,5,0,,,,history
Troy,2005,4,7,0,,,,history
Troy,2006,8,5,0,,,,history
Troy,2007,8,4,0,,,,history
Troy,2008,8,5,0,,,,history
Troy,2009,9,4,0,,,,history
Troy,2010,8,5,0,,,,history
Troy,2011,3,9,0,,,,history
Troy,2012,5,7,0,,,,history
Troy,2013,6,6,0,,,,history
Troy,2014,3,9,0,,,,history
Troy,2015,4,8,0,,,,history
Troy,2016,10,3,0,,,,history
Troy,2017,11,2,0,,,,history
Troy,2018,10,3,0,,,,history
Troy,2019,5,7,0,,,,history
Troy,2020,5,6,0,,,,history
Troy,2021,5,7,0,,,,history
Troy,2022,12,2,0,,,,history
Troy,2023,11,3,0,,,,history
Troy,2024,4,8,0,,,,history
Troy,2025,8,6,0,,,,history
Tulane,1902,1,4,2,,,,history
Tulane,1903,0,1,0,,,,history
Tulane,1904,5,2,0,,,,history
Tulane,1906,0,4,1,,,,history
Tulane,1907,3,2,0,,,,history
Tulane,1908,7,1,0,,,,history
Tulane,1909,4,3,2,,,,history
Tulane,1910,0,7,0,,,,history
Tulane,1911,5,3,1,,,,history
Tulane,1912,5,3,0,,,,history
Tulane,1913,3,5,0,,,,history
Tulane,1914,3,3,1,,,,history
Tulane,1915,4,4,0,,,,history
Tulane,1916,4,3,1,,,,history
Tulane,1917,5,3,0,,,,history
Tulane,1919,6,2,1,,,,history
Tulane,1920,6,2,1,,,,history
Tulane,1921,4,6,0,,,,history
Tulane,1922,4,4,0,,,,history
Tulane,1923,6,3,1,,,,history
Tulane,1924,8,1,0,,,,history
Tulane,1925,9,0,1,,,,history
Tulane,1926,3,5,1,,,,history
Tulane,1927,2,5,1,,,,history
Tulane,1928,6,3,1,,,,history
Tulane,1929,9,0,0,,,,history
Tulane,1930,8,1,0,,,,history
Tulane,1931,11,1,0,,,,history
Tulane,1932,6,2,1,,,,history
Tulane,1933,6,3,1,,,,history
Tulane,1934,10,1,0,,,,history
Tulane,1935,6,4,0,,,,history
Tulane,1936,6,3,1,,,,history
Tulane,1937,5,4,1,,,,history
Tulane,1938,7,2,1,,,,history
Tulane,1939,8,1,1,,,,history
Tulane,1940,5,5,0,,,,history
Tulane,1941,5,4,0,,,,history
Tulane,1942,4,5,0,,,,history
Tulane,1943,3,3,0,,,,history
Tulane,1944,4,3,0,,,,history
Tulane,1945,2,6,1,,,,history
Tulane,1946,3,7,0,,,,history
Tulane,1947,2,5,2,,,,history
Tulane,1948,9,1,0,,,,history
Tulane,1949,7,2,1,,,,history
Tulane,1950,6,2,1,,,,history
Tulane,1951,4,6,0,,,,history
Tulane,1952,5,5,0,,,,history
Tulane,1953,1,8,1,,,,history
Tulane,1954,1,6,3,,,,history
Tulane,1955,5,4,1,,,,history
Tulane,1956,6,4,0,,,,history
Tulane,1957,2,8,0,,,,history
Tulane,1958,3,7,0,,,,history
Tulane,1959,3,6,1,,,,history
Tulane,1960,3,6,1,,,,history
Tulane,1961,2,8,0,,,,history
Tulane,1962,0,10,0,,,,history
Tulane,1963,1,8,1,,,,history
Tulane,1964,3,7,0,,,,history
Tulane,1965,2,8,0,,,,history
Tulane,1966,5,4,1,,,,history
Tulane,1967,3,7,0,,,,history
Tulane,1968,2,8,0,,,,history
Tulane,1969,3,7,0,,,,history
Tulane,1970,8,4,0,,,,history
Tulane,1971,3,8,0,,,,history
Tulane,1972,6,5,0,,,,history
Tulane,1973,9,3,0,,,,history
Tulane,1974,5,6,0,,,,history
Tulane,1975,4,7,0,,,,history
Tulane,1976,2,9,0,,,,history
Tulane,1977,3,8,0,,,,history
Tulane,1978,4,7,0,,,,history
Tulane,1979,9,3,0,,,,history
Tulane,1980,7,5,0,,,,history
Tulane,1981,6,5,0,,,,history
Tulane,1982,4,7,0,,,,history
Tulane,1983,4,7,0,,,,history
Tulane,1984,3,8,0,,,,history
Tulane,1985,1,10,0,,,,history
Tulane,1986,4,7,0,,,,history
Tulane,1987,6,6,0,,,,history
Tulane,1988,5,6,0,,,,history
Tulane,1989,4,8,0,,,,history
Tulane,1990,4,7,0,,,,history
Tulane,1991,1,10,0,,,,history
Tulane,1992,2,9,0,,,,history
Tulane,1993,3,9,0,,,,history
Tulane,1994,1,10,0,,,,history
Tulane,1995,2,9,0,,,,history
Tulane,1996,2,9,0,,,,history
Tulane,1997,7,4,0,,,,history
Tulane,1998,12,0,0,,,,history
Tulane,1999,3,8,0,,,,history
Tulane,2000,6,5,0,,,,history
Tulane,2001,3,9,0,,,,history
Tulane,2002,8,5,0,,,,history
Tulane,2003,5,7,0,,,,history
Tulane,2004,5,6,0,,,,history
Tulane,2005,2,9,0,,,,history
Tulane,2006,4,8,0,,,,history
Tulane,2007,4,8,0,,,,history
Tulane,2008,2,10,0,,,,history
Tulane,2009,3,9,0,,,,history
Tulane,2010,4,8,0,,,,history
Tulane,2011,2,11,0,,,,history
Tulane,2012,2,10,0,,,,history
Tulane,2013,7,6,0,,,,history
Tulane,2014,3,9,0,,,,history
Tulane,2015,3,9,0,,,,history
Tulane,2016,4,8,0,,,,history
Tulane,2017,5,7,0,,,,history
Tulane,2018,7,6,0,,,,history
Tulane,2019,7,6,0,,,,history
Tulane,2020,6,6,0,,,,history
Tulane,2021,2,10,0,,,,history
Tulane,2022,12,2,0,,,,history
Tulane,2023,11,3,0,,,,history
Tulane,2024,9,5,0,,,,history
Tulane,2025,11,3,0,,,,history
Tulsa,1914,0,2,0,,,,history
Tulsa,1915,1,1,1,,,,history
Tulsa,1916,3,0,0,,,,history
Tulsa,1917,0,8,1,,,,history
Tulsa,1918,0,2,0,,,,history
Tulsa,1919,2,0,1,,,,history
Tulsa,1920,1,0,1,,,,history
Tulsa,1921,1,1,0,,,,history
Tulsa,1922,3,0,0,,,,history
Tulsa,1925,0,1,0,,,,history
Tulsa,1926,2,0,0,,,,history
Tulsa,1927,1,0,0,,,,history
Tulsa,1928,1,1,0,,,,history
Tulsa,1929,0,2,0,,,,history
Tulsa,1930,1,1,0,,,,history
Tulsa,1931,2,2,0,,,,history
Tulsa,1932,2,1,1,,,,history
Tulsa,1933,6,1,0,,,,history
Tulsa,1934,5,2,1,,,,history
Tulsa,1935,3,6,1,,,,history
Tulsa,1936,5,2,2,,,,history
Tulsa,1937,6,2,2,,,,history
Tulsa,1938,4,5,1,,,,history
Tulsa,1939,4,5,1,,,,history
Tulsa,1940,7,3,0,,,,history
Tulsa,1941,8,2,0,,,,history
Tulsa,1942,10,1,0,,,,history
Tulsa,1943,6,1,1,,,,history
Tulsa,1944,8,2,0,,,,history
Tulsa,1945,8,3,0,,,,history
Tulsa,1946,9,1,0,,,,history
Tulsa,1947,5,5,0,,,,history
Tulsa,1948,0,9,1,,,,history
Tulsa,1949,5,5,1,,,,history
Tulsa,1950,9,1,1,,,,history
Tulsa,1951,9,2,0,,,,history
Tulsa,1952,8,2,1,,,,history
Tulsa,1953,3,7,0,,,,history
Tulsa,1954,0,11,0,,,,history
Tulsa,1955,2,7,1,,,,history
Tulsa,1956,7,2,1,,,,history
Tulsa,1957,4,6,0,,,,history
Tulsa,1958,7,3,0,,,,history
Tulsa,1959,5,5,0,,,,history
Tulsa,1960,5,5,0,,,,history
Tulsa,1961,2,8,0,,,,history
Tulsa,1962,5,5,0,,,,history
Tulsa,1963,5,5,0,,,,history
Tulsa,1964,9,2,0,,,,history
Tulsa,1965,8,3,0,,,,history
Tulsa,1966,6,4,0,,,,history
Tulsa,1967,7,3,0,,,,history
Tulsa,1968,3,7,0,,,,history
Tulsa,1969,1,9,0,,,,history
Tulsa,1970,6,4,0,,,,history
Tulsa,1971,4,7,0,,,,history
Tulsa,1972,4,7,0,,,,history
Tulsa,1973,6,5,0,,,,history
Tulsa,1974,8,3,0,,,,history
Tulsa,1975,7,4,0,,,,history
Tulsa,1976,7,4,1,,,,history
Tulsa,1977,3,8,0,,,,history
Tulsa,1978,9,2,0,,,,history
Tulsa,1979,6,5,0,,,,history
Tulsa,1980,8,3,0,,,,history
Tulsa,1981,6,5,0,,,,history
Tulsa,1982,10,1,0,,,,history
Tulsa,1983,8,3,0,,,,history
Tulsa,1984,6,5,0,,,,history
Tulsa,1985,6,5,0,,,,history
Tulsa,1986,7,4,0,,,,history
Tulsa,1987,3,8,0,,,,history
Tulsa,1988,4,7,0,,,,history
Tulsa,1989,6,6,0,,,,history
Tulsa,1990,3,8,0,,,,history
Tulsa,1991,10,2,0,,,,history
Tulsa,1992,4,7,0,,,,history
Tulsa,1993,4,6,1,,,,history
Tulsa,1994,3,8,0,,,,history
Tulsa,1995,4,7,0,,,,history
Tulsa,1996,4,7,0,,,,history
Tulsa,1997,2,9,0,,,,history
Tulsa,1998,4,7,0,,,,history
Tulsa,1999,2,9,0,,,,history
Tulsa,2000,5,7,0,,,,history
Tulsa,2001,1,10,0,,,,history
Tulsa,2002,1,11,0,,,,history
Tulsa,2003,8,5,0,,,,history
Tulsa,2004,4,8,0,,,,history
Tulsa,2005,9,4,0,,,,history
Tulsa,2006,8,5,0,,,,history
Tulsa,2007,10,4,0,,,,history
Tulsa,2008,11,3,0,,,,history
Tulsa,2009,5,7,0,,,,history
Tulsa,2010,10,3,0,,,,history
Tulsa,2011,8,5,0,,,,history
Tulsa,2012,11,3,0,,,,history
Tulsa,2013,3,9,0,,,,history
Tulsa,2014,2,10,0,,,,history
Tulsa,2015,6,7,0,,,,history
Tulsa,2016,10,3,0,,,,history
Tulsa,2017,2,10,0,,,,history
Tulsa,2018,3,9,0,,,,history
Tulsa,2019,4,8,0,,,,history
Tulsa,2020,6,3,0,,,,history
Tulsa,2021,7,6,0,,,,history
Tulsa,2022,5,7,0,,,,history
Tulsa,2023,4,8,0,,,,history
Tulsa,2024,3,9,0,,,,history
Tulsa,2025,4,8,0,,,,history
UAB,1991,0,0,0,,,,history
UAB,1992,0,0,0,,,,history
UAB,1993,0,0,0,,,,history
UAB,1994,0,1,0,,,,history
UAB,1995,1,1,0,,,,history
UAB,1996,5,6,0,,,,history
UAB,1997,5,6,0,,,,history
UAB,1998,4,7,0,,,,history
UAB,1999,5,6,0,,,,history
UAB,2000,7,4,0,,,,history
UAB,2001,6,5,0,,,,history
UAB,2002,5,7,0,,,,history
UAB,2003,5,7,0,,,,history
UAB,2004,7,5,0,,,,history
UAB,2005,5,6,0,,,,history
UAB,2006,3,9,0,,,,history
UAB,2007,2,10,0,,,,history
UAB,2008,4,8,0,,,,history
UAB,2009,5,7,0,,,,history
UAB,2010,4,8,0,,,,history
UAB,2011,3,9,0,,,,history
UAB,2012,3,9,0,,,,history
UAB,2013,2,10,0,,,,history
UAB,2014,6,6,0,,,,history
UAB,2017,8,5,0,,,,history
UAB,2018,11,3,0,,,,history
UAB,2019,9,5,0,,,,history
UAB,2020,6,3,0,,,,history
UAB,2021,9,4,0,,,,history
UAB,2022,7,6,0,,,,history
UAB,2023,4,8,0,,,,history
UAB,2024,3,9,0,,,,history
UAB,2025,4,8,0,,,,history
UCF,1979,0,0,0,,,,history
UCF,1980,0,0,0,,,,history
UCF,1981,0,0,0,,,,history
UCF,1982,0,0,0,,,,history
UCF,1983,0,1,0,,,,history
UCF,1984,1,1,0,,,,history
UCF,1985,0,2,0,,,,history
UCF,1986,0,1,0,,,,history
UCF,1987,0,0,0,,,,history
UCF,1988,0,0,0,,,,history
UCF,1989,0,0,0,,,,history
UCF,1990,0,1,0,,,,history
UCF,1991,1,1,0,,,,history
UCF,1992,0,0,0,,,,history
UCF,1993,1,1,0,,,,history
UCF,1994,1,1,0,,,,history
UCF,1995,1,2,0,,,,history
UCF,1996,5,6,0,,,,history
UCF,1997,5,6,0,,,,history
UCF,1998,9,2,0,,,,history
UCF,1999,4,7,0,,,,history
UCF,2000,7,4,0,,,,history
UCF,2001,6,5,0,,,,history
UCF,2002,7,5,0,,,,history
UCF,2003,3,9,0,,,,history
UCF,2004,0,11,0,,,,history
UCF,2005,8,5,0,,,,history
UCF,2006,4,8,0,,,,history
UCF,2007,10,4,0,,,,history
UCF,2008,4,8,0,,,,history
UCF,2009,8,5,0,,,,history
UCF,2010,11,3,0,,,,history
UCF,2011,5,7,0,,,,history
UCF,2012,10,4,0,,,,history
UCF,2013,12,1,0,,,,history
UCF,2014,9,4,0,,,,history
UCF,2015,0,12,0,,,,history
UCF,2016,6,7,0,,,,history
UCF,2017,13,0,0,,,,history
UCF,2018,12,1,0,,,,history
UCF,2019,10,3,0,,,,history
UCF,2020,6,4,0,,,,history
UCF,2021,9,4,0,,,,history
UCF,2022,9,5,0,,,,history
UCF,2023,6,7,0,,,,history
UCF,2024,4,8,0,,,,history
UCF,2025,5,7,0,,,,history
UCLA,1925,0,1,0,,,,history
UCLA,1926,0,1,0,,,,history
UCLA,1927,0,1,0,,,,history
UCLA,1928,4,4,1,,,,history
UCLA,1929,4,4,0,,,,history
