school,season,wins,losses,ties,source
Montana,1973,0,2,0,cfbd
Montana,1974,0,0,1,cfbd
Montana,1975,0,0,0,cfbd
Montana,1976,0,0,0,cfbd
Montana,1977,0,0,0,cfbd
Montana,1978,0,2,0,cfbd
Montana,1979,0,1,0,cfbd
Montana,1980,0,0,0,cfbd
Montana,1981,0,0,0,cfbd
Montana,1982,0,2,0,cfbd
Montana,1983,0,1,0,cfbd
Montana,1984,0,1,0,cfbd
Montana,1985,1,1,0,cfbd
Montana,1986,0,0,0,cfbd
Montana,1987,0,1,0,cfbd
Montana,1988,0,0,0,cfbd
Montana,1989,0,1,0,cfbd
Montana,1990,1,0,0,cfbd
Montana,1991,0,1,0,cfbd
Montana,1992,0,2,0,cfbd
Montana,1993,0,1,0,cfbd
Montana,1994,0,0,0,cfbd
Montana,1995,0,1,0,cfbd
Montana,1996,1,0,0,cfbd
Montana,1997,0,1,0,cfbd
Montana,1998,0,0,0,cfbd
Montana,1999,0,1,0,cfbd
Montana,2000,1,0,0,cfbd
Montana,2001,1,1,0,cfbd
Montana,2002,1,0,0,cfbd
Montana,2003,4,0,0,cfbd
Montana,2004,10,2,0,cfbd
Montana,2005,8,4,0,cfbd
Montana,2006,12,1,0,cfbd
Montana,2007,11,1,0,cfbd
Montana,2008,12,1,0,cfbd
Montana,2009,13,0,0,cfbd
Montana,2010,7,4,0,cfbd
Montana,2011,10,2,0,cfbd
Montana,2012,1,1,0,cfbd
Montana,2013,10,2,0,cfbd
Montana,2014,9,5,0,cfbd
Montana,2015,8,5,0,cfbd
Montana,2016,6,5,0,cfbd
Montana,2017,7,4,0,cfbd
Montana,2018,6,5,0,cfbd
Montana,2019,10,4,0,cfbd
Montana,2020,2,0,0,cfbd
Montana,2021,10,3,0,cfbd
Montana,2022,8,5,0,cfbd
Montana,2023,13,2,0,cfbd
Montana,2024,9,5,0,cfbd
Montana,2025,13,2,0,cfbd
Montana,2026,0,0,0,cfbd
Montana State,1936,3,5,0,cfbd
Montana State,1937,3,4,1,cfbd
Montana State,1938,0,4,0,cfbd
Montana State,1939,0,2,0,cfbd
Montana State,1940,0,2,0,cfbd
Montana State,1941,0,2,0,cfbd
Montana State,1946,5,3,2,cfbd
Montana State,1947,4,5,0,cfbd
Montana State,1948,0,4,0,cfbd
Montana State,1949,0,3,0,cfbd
Montana State,1950,0,3,0,cfbd
Montana State,1951,0,2,0,cfbd
Montana State,1952,0,1,0,cfbd
Montana State,1953,0,1,0,cfbd
Montana State,1954,0,1,0,cfbd
Montana State,1955,0,1,0,cfbd
Montana State,1956,1,0,0,cfbd
Montana State,1957,1,1,0,cfbd
Montana State,1958,1,0,0,cfbd
Montana State,1959,1,2,0,cfbd
Montana State,1960,0,2,0,cfbd
Montana State,1961,1,0,0,cfbd
Montana State,1962,1,3,0,cfbd
Montana State,1963,0,1,0,cfbd
Montana State,1964,0,2,0,cfbd
Montana State,1965,1,2,0,cfbd
Montana State,1966,1,1,0,cfbd
Montana State,1967,1,1,0,cfbd
Montana State,1968,1,1,0,cfbd
Montana State,1969,0,2,0,cfbd
Montana State,1970,1,2,0,cfbd
Montana State,1971,1,1,0,cfbd
Montana State,1972,2,0,0,cfbd
Montana State,1973,2,0,0,cfbd
Montana State,1974,2,0,0,cfbd
Montana State,1975,0,1,0,cfbd
Montana State,1976,1,1,0,cfbd
Montana State,1977,1,0,0,cfbd
Montana State,1978,1,0,0,cfbd
Montana State,1979,0,1,0,cfbd
Montana State,1980,0,1,0,cfbd
Montana State,1981,1,1,0,cfbd
Montana State,1982,0,2,0,cfbd
Montana State,1983,0,2,0,cfbd
Montana State,1984,1,0,0,cfbd
Montana State,1985,0,1,0,cfbd
Montana State,1986,0,1,0,cfbd
Montana State,1987,0,1,0,cfbd
Montana State,1988,0,2,0,cfbd
Montana State,1989,0,1,0,cfbd
Montana State,1990,0,2,0,cfbd
Montana State,1991,0,0,0,cfbd
Montana State,1992,0,1,0,cfbd
Montana State,1993,0,1,0,cfbd
Montana State,1994,0,0,0,cfbd
Montana State,1995,0,1,0,cfbd
Montana State,1996,0,1,0,cfbd
Montana State,1997,0,0,0,cfbd
Montana State,1998,0,1,0,cfbd
Montana State,1999,0,0,0,cfbd
Montana State,2000,0,1,0,cfbd
Montana State,2001,0,2,0,cfbd
Montana State,2002,0,1,0,cfbd
Montana State,2003,2,3,0,cfbd
Montana State,2004,6,5,0,cfbd
Montana State,2005,7,4,0,cfbd
Montana State,2006,8,5,0,cfbd
Montana State,2007,6,5,0,cfbd
Montana State,2008,7,5,0,cfbd
Montana State,2009,7,4,0,cfbd
Montana State,2010,9,3,0,cfbd
Montana State,2011,10,2,0,cfbd
Montana State,2012,2,0,0,cfbd
Montana State,2013,7,5,0,cfbd
Montana State,2014,8,5,0,cfbd
Montana State,2015,5,6,0,cfbd
Montana State,2016,4,7,0,cfbd
Montana State,2017,5,6,0,cfbd
Montana State,2018,8,5,0,cfbd
Montana State,2019,11,4,0,cfbd
Montana State,2021,12,3,0,cfbd
Montana State,2022,12,2,0,cfbd
Montana State,2023,8,4,0,cfbd
Montana State,2024,15,1,0,cfbd
Montana State,2025,14,2,0,cfbd
Montana State,2026,0,0,0,cfbd
Montclair State,2014,0,0,0,cfbd
Montclair State,2015,0,0,0,cfbd
Montclair State,2016,0,0,0,cfbd
Montclair State,2017,0,0,0,cfbd
Montclair State,2018,0,0,0,cfbd
Montclair State,2019,0,0,0,cfbd
Montclair State,2020,2,1,0,cfbd
Montclair State,2021,0,0,0,cfbd
Montclair State,2022,2,8,0,cfbd
Montclair State,2023,5,5,0,cfbd
Montclair State,2024,3,7,0,cfbd
Montclair State,2025,5,5,0,cfbd
Montclair State,2026,0,0,0,cfbd
Moravian,2014,0,0,0,cfbd
Moravian,2015,0,0,0,cfbd
Moravian,2016,0,0,0,cfbd
Moravian,2017,0,0,0,cfbd
Moravian,2018,0,0,0,cfbd
Moravian,2019,0,0,0,cfbd
Moravian,2020,0,0,0,cfbd
Moravian,2021,0,0,0,cfbd
Moravian,2022,3,7,0,cfbd
Moravian,2023,4,6,0,cfbd
Moravian,2024,6,4,0,cfbd
Moravian,2025,2,8,0,cfbd
Moravian,2026,0,0,0,cfbd
Morehead State,1936,0,0,0,cfbd
Morehead State,1937,0,0,0,cfbd
Morehead State,1938,0,0,0,cfbd
Morehead State,1939,0,0,0,cfbd
Morehead State,1940,0,0,0,cfbd
Morehead State,1941,0,0,0,cfbd
Morehead State,1942,0,0,0,cfbd
Morehead State,1946,0,0,0,cfbd
Morehead State,1947,0,0,0,cfbd
Morehead State,1948,0,0,0,cfbd
Morehead State,1949,0,0,0,cfbd
Morehead State,1950,0,0,0,cfbd
Morehead State,1951,0,0,0,cfbd
Morehead State,1952,0,0,0,cfbd
Morehead State,1953,0,0,0,cfbd
Morehead State,1954,0,0,0,cfbd
Morehead State,1955,0,0,0,cfbd
Morehead State,1956,0,0,0,cfbd
Morehead State,1957,0,0,0,cfbd
Morehead State,1958,0,1,0,cfbd
Morehead State,1959,0,0,0,cfbd
Morehead State,1960,0,0,0,cfbd
Morehead State,1961,0,0,0,cfbd
Morehead State,1962,0,1,0,cfbd
Morehead State,1963,1,0,0,cfbd
Morehead State,1964,1,0,0,cfbd
Morehead State,1965,0,1,0,cfbd
Morehead State,1966,0,1,0,cfbd
Morehead State,1967,1,0,0,cfbd
Morehead State,1968,0,0,1,cfbd
Morehead State,1969,1,0,0,cfbd
Morehead State,1970,0,1,0,cfbd
Morehead State,1971,1,0,0,cfbd
Morehead State,1972,0,1,0,cfbd
Morehead State,1973,0,1,0,cfbd
Morehead State,1974,1,1,0,cfbd
Morehead State,1975,2,0,0,cfbd
Morehead State,1976,1,0,0,cfbd
Morehead State,1977,0,1,0,cfbd
Morehead State,1978,0,0,0,cfbd
Morehead State,1979,0,0,0,cfbd
Morehead State,1980,0,1,0,cfbd
Morehead State,1981,0,1,0,cfbd
Morehead State,1982,0,0,0,cfbd
Morehead State,1983,0,0,0,cfbd
Morehead State,1984,0,0,0,cfbd
Morehead State,1985,0,0,0,cfbd
Morehead State,1986,1,0,0,cfbd
Morehead State,1987,0,0,0,cfbd
Morehead State,1988,0,0,0,cfbd
Morehead State,1989,1,0,0,cfbd
Morehead State,1990,0,0,0,cfbd
Morehead State,1991,0,0,0,cfbd
Morehead State,1992,0,0,0,cfbd
Morehead State,1993,0,0,0,cfbd
Morehead State,1994,0,0,0,cfbd
Morehead State,1995,0,0,0,cfbd
Morehead State,1996,0,0,0,cfbd
Morehead State,1997,0,0,0,cfbd
Morehead State,1998,0,0,0,cfbd
Morehead State,1999,0,0,0,cfbd
Morehead State,2000,0,0,0,cfbd
Morehead State,2001,0,0,0,cfbd
Morehead State,2002,0,0,0,cfbd
Morehead State,2003,2,1,0,cfbd
Morehead State,2004,1,2,0,cfbd
Morehead State,2005,8,4,0,cfbd
Morehead State,2006,2,9,0,cfbd
Morehead State,2007,7,4,0,cfbd
Morehead State,2008,6,6,0,cfbd
Morehead State,2009,3,7,0,cfbd
Morehead State,2010,5,5,0,cfbd
Morehead State,2011,3,8,0,cfbd
Morehead State,2012,4,7,0,cfbd
Morehead State,2013,3,9,0,cfbd
Morehead State,2014,4,7,0,cfbd
Morehead State,2015,6,4,0,cfbd
Morehead State,2016,4,7,0,cfbd
Morehead State,2017,4,7,0,cfbd
Morehead State,2018,3,8,0,cfbd
Morehead State,2019,5,7,0,cfbd
Morehead State,2020,4,3,0,cfbd
Morehead State,2021,7,4,0,cfbd
Morehead State,2022,2,9,0,cfbd
Morehead State,2023,4,7,0,cfbd
Morehead State,2024,7,5,0,cfbd
Morehead State,2025,6,6,0,cfbd
Morehead State,2026,0,1,0,cfbd
Morehouse,2014,0,1,0,cfbd
Morehouse,2015,0,1,0,cfbd
Morehouse,2016,0,0,0,cfbd
Morehouse,2017,0,1,0,cfbd
Morehouse,2018,0,0,0,cfbd
Morehouse,2019,0,1,0,cfbd
Morehouse,2020,0,0,0,cfbd
Morehouse,2021,4,6,0,cfbd
Morehouse,2022,1,9,0,cfbd
Morehouse,2023,1,9,0,cfbd
Morehouse,2024,1,9,0,cfbd
Morehouse,2025,3,7,0,cfbd
Morehouse,2026,0,0,0,cfbd
Morgan State,1936,0,0,0,cfbd
Morgan State,1937,0,0,0,cfbd
Morgan State,1938,0,0,0,cfbd
Morgan State,1939,0,0,0,cfbd
Morgan State,1940,0,0,0,cfbd
Morgan State,1941,0,0,0,cfbd
Morgan State,1942,0,0,0,cfbd
Morgan State,1943,0,0,0,cfbd
Morgan State,1944,0,0,0,cfbd
Morgan State,1945,0,0,0,cfbd
Morgan State,1946,0,0,0,cfbd
Morgan State,1947,0,0,0,cfbd
Morgan State,1948,0,0,0,cfbd
Morgan State,1949,0,0,0,cfbd
Morgan State,1950,0,0,0,cfbd
Morgan State,1951,0,0,0,cfbd
Morgan State,1952,0,0,0,cfbd
Morgan State,1953,0,0,0,cfbd
Morgan State,1954,0,0,0,cfbd
Morgan State,1955,0,0,0,cfbd
Morgan State,1956,0,0,0,cfbd
Morgan State,1957,0,0,0,cfbd
Morgan State,1958,0,0,0,cfbd
Morgan State,1959,0,0,0,cfbd
Morgan State,1960,0,0,0,cfbd
Morgan State,1961,0,0,0,cfbd
Morgan State,1962,0,0,0,cfbd
Morgan State,1963,0,0,0,cfbd
Morgan State,1964,0,0,0,cfbd
Morgan State,1965,0,0,0,cfbd
Morgan State,1966,1,0,0,cfbd
Morgan State,1967,0,0,0,cfbd
Morgan State,1968,0,0,0,cfbd
Morgan State,1969,0,0,0,cfbd
Morgan State,1970,0,0,0,cfbd
Morgan State,1971,0,1,0,cfbd
Morgan State,1972,0,1,0,cfbd
Morgan State,1973,0,0,0,cfbd
Morgan State,1974,0,0,0,cfbd
Morgan State,1975,0,0,0,cfbd
Morgan State,1976,0,0,0,cfbd
Morgan State,1977,0,2,0,cfbd
Morgan State,1978,0,0,0,cfbd
Morgan State,1979,0,0,0,cfbd
Morgan State,1980,0,0,0,cfbd
Morgan State,1981,0,0,0,cfbd
Morgan State,1982,0,1,0,cfbd
Morgan State,1983,0,1,0,cfbd
Morgan State,1984,0,0,0,cfbd
Morgan State,1985,0,0,0,cfbd
Morgan State,1986,0,0,0,cfbd
Morgan State,1987,0,0,0,cfbd
Morgan State,1988,0,0,0,cfbd
Morgan State,1989,0,0,0,cfbd
Morgan State,1990,0,0,0,cfbd
Morgan State,1991,0,0,0,cfbd
Morgan State,1992,0,0,0,cfbd
Morgan State,1993,0,0,0,cfbd
Morgan State,1994,0,0,0,cfbd
Morgan State,1995,0,0,0,cfbd
Morgan State,1996,0,0,0,cfbd
Morgan State,1997,0,0,0,cfbd
Morgan State,1998,0,0,0,cfbd
Morgan State,1999,0,0,0,cfbd
Morgan State,2000,0,0,0,cfbd
Morgan State,2001,0,0,0,cfbd
Morgan State,2002,0,0,0,cfbd
Morgan State,2003,6,5,0,cfbd
Morgan State,2004,5,6,0,cfbd
Morgan State,2005,2,8,0,cfbd
Morgan State,2006,5,6,0,cfbd
Morgan State,2007,5,6,0,cfbd
Morgan State,2008,6,6,0,cfbd
Morgan State,2009,6,5,0,cfbd
Morgan State,2010,4,7,0,cfbd
Morgan State,2011,5,6,0,cfbd
Morgan State,2012,2,7,0,cfbd
Morgan State,2013,5,7,0,cfbd
Morgan State,2014,7,6,0,cfbd
Morgan State,2015,4,6,0,cfbd
Morgan State,2016,3,8,0,cfbd
Morgan State,2017,1,10,0,cfbd
Morgan State,2018,4,7,0,cfbd
Morgan State,2019,3,9,0,cfbd
Morgan State,2021,2,9,0,cfbd
Morgan State,2022,4,7,0,cfbd
Morgan State,2023,4,6,1,cfbd
Morgan State,2024,6,6,0,cfbd
Morgan State,2025,4,8,0,cfbd
Morgan State,2026,0,0,0,cfbd
Mount Ida College,2014,0,0,0,cfbd
Mount Ida College,2015,0,0,0,cfbd
Mount Ida College,2016,0,0,0,cfbd
Mount Ida College,2017,0,0,0,cfbd
Mount Ida College,2018,0,0,0,cfbd
Mount Ida College,2019,0,0,0,cfbd
Mount Ida College,2020,0,0,0,cfbd
Mount Ida College,2021,0,0,0,cfbd
Mount Ida College,2022,0,0,0,cfbd
Mount Ida College,2023,0,0,0,cfbd
Mount Ida College,2024,0,0,0,cfbd
Mount Ida College,2025,0,0,0,cfbd
Mount Ida College,2026,0,0,0,cfbd
Mount St Joseph,2014,0,0,0,cfbd
Mount St Joseph,2015,0,0,0,cfbd
Mount St Joseph,2016,0,0,0,cfbd
Mount St Joseph,2017,0,0,0,cfbd
Mount St Joseph,2018,0,1,0,cfbd
Mount St Joseph,2019,0,0,0,cfbd
Mount St Joseph,2020,5,1,0,cfbd
Mount St Joseph,2021,0,0,0,cfbd
Mount St Joseph,2022,10,1,0,cfbd
Mount St Joseph,2023,9,2,0,cfbd
Mount St Joseph,2024,8,3,0,cfbd
Mount St Joseph,2025,6,5,0,cfbd
Mount St Joseph,2026,0,0,0,cfbd
Mount Union,2014,0,1,0,cfbd
Mount Union,2015,1,0,0,cfbd
Mount Union,2016,0,0,0,cfbd
Mount Union,2017,1,0,0,cfbd
Mount Union,2018,0,1,0,cfbd
Mount Union,2019,0,0,0,cfbd
Mount Union,2020,3,0,0,cfbd
Mount Union,2021,0,0,0,cfbd
Mount Union,2022,14,1,0,cfbd
Mount Union,2023,11,1,0,cfbd
Mount Union,2024,14,1,0,cfbd
Mount Union,2025,11,1,0,cfbd
Mount Union,2026,0,0,0,cfbd
Muhlenberg,2014,0,0,0,cfbd
Muhlenberg,2015,0,0,0,cfbd
Muhlenberg,2016,0,0,0,cfbd
Muhlenberg,2017,0,0,0,cfbd
Muhlenberg,2018,0,0,0,cfbd
Muhlenberg,2019,0,0,0,cfbd
Muhlenberg,2020,0,0,0,cfbd
Muhlenberg,2021,0,0,0,cfbd
Muhlenberg,2022,6,4,0,cfbd
Muhlenberg,2023,9,1,0,cfbd
Muhlenberg,2024,7,3,0,cfbd
Muhlenberg,2025,9,3,0,cfbd
Muhlenberg,2026,0,0,0,cfbd
Murray State,1936,0,0,0,cfbd
Murray State,1937,0,0,0,cfbd
Murray State,1938,0,0,0,cfbd
Murray State,1939,0,0,0,cfbd
Murray State,1940,0,0,0,cfbd
Murray State,1941,0,0,0,cfbd
Murray State,1942,0,0,0,cfbd
Murray State,1944,0,0,0,cfbd
Murray State,1945,0,2,0,cfbd
Murray State,1946,0,2,0,cfbd
Murray State,1947,0,0,0,cfbd
Murray State,1948,0,0,1,cfbd
Murray State,1949,0,0,0,cfbd
Murray State,1950,0,0,0,cfbd
Murray State,1951,0,0,0,cfbd
Murray State,1952,0,0,0,cfbd
Murray State,1953,0,0,0,cfbd
Murray State,1954,0,0,0,cfbd
Murray State,1955,0,0,0,cfbd
Murray State,1956,0,0,0,cfbd
Murray State,1957,0,0,0,cfbd
Murray State,1958,0,0,0,cfbd
Murray State,1959,0,0,0,cfbd
Murray State,1960,0,0,0,cfbd
Murray State,1961,0,0,0,cfbd
Murray State,1962,0,0,0,cfbd
Murray State,1963,0,0,0,cfbd
Murray State,1964,0,0,0,cfbd
Murray State,1965,0,0,0,cfbd
Murray State,1966,0,0,0,cfbd
Murray State,1967,0,0,0,cfbd
Murray State,1968,0,0,0,cfbd
Murray State,1969,0,0,0,cfbd
Murray State,1970,0,0,0,cfbd
Murray State,1971,0,0,0,cfbd
Murray State,1972,0,0,0,cfbd
Murray State,1973,0,0,0,cfbd
Murray State,1974,0,0,0,cfbd
Murray State,1975,0,0,0,cfbd
Murray State,1976,0,0,0,cfbd
Murray State,1977,0,0,0,cfbd
Murray State,1978,0,0,0,cfbd
Murray State,1979,0,0,0,cfbd
Murray State,1980,1,0,0,cfbd
Murray State,1981,0,0,0,cfbd
Murray State,1982,0,0,0,cfbd
Murray State,1983,0,1,0,cfbd
Murray State,1984,1,0,0,cfbd
Murray State,1985,0,0,1,cfbd
Murray State,1986,0,0,0,cfbd
Murray State,1987,0,1,0,cfbd
Murray State,1988,0,0,0,cfbd
Murray State,1989,0,0,1,cfbd
Murray State,1990,0,2,0,cfbd
Murray State,1991,0,0,0,cfbd
Murray State,1992,0,0,0,cfbd
Murray State,1993,0,0,0,cfbd
Murray State,1994,0,0,0,cfbd
Murray State,1995,0,0,0,cfbd
Murray State,1996,0,0,0,cfbd
Murray State,1997,0,0,0,cfbd
Murray State,1998,0,1,0,cfbd
Murray State,1999,0,1,0,cfbd
Murray State,2000,0,1,0,cfbd
Murray State,2001,0,2,0,cfbd
Murray State,2002,0,1,0,cfbd
Murray State,2003,4,8,0,cfbd
Murray State,2004,7,4,0,cfbd
Murray State,2005,2,9,0,cfbd
Murray State,2006,1,10,0,cfbd
Murray State,2007,2,8,0,cfbd
Murray State,2008,5,7,0,cfbd
Murray State,2009,1,6,0,cfbd
Murray State,2010,6,5,0,cfbd
Murray State,2011,7,4,0,cfbd
Murray State,2012,5,6,0,cfbd
Murray State,2013,1,2,0,cfbd
Murray State,2014,3,9,0,cfbd
Murray State,2015,3,8,0,cfbd
Murray State,2016,4,7,0,cfbd
Murray State,2017,3,8,0,cfbd
Murray State,2018,5,6,0,cfbd
Murray State,2019,4,8,0,cfbd
Murray State,2020,5,2,0,cfbd
Murray State,2021,6,5,0,cfbd
Murray State,2022,2,9,0,cfbd
Murray State,2023,2,9,0,cfbd
Murray State,2024,1,11,0,cfbd
Murray State,2025,1,11,0,cfbd
Murray State,2026,0,1,0,cfbd
Muskingum,2014,0,0,0,cfbd
Muskingum,2015,0,0,0,cfbd
Muskingum,2016,0,0,0,cfbd
Muskingum,2017,0,0,0,cfbd
Muskingum,2018,0,0,0,cfbd
Muskingum,2019,0,0,0,cfbd
Muskingum,2020,0,2,0,cfbd
Muskingum,2021,0,0,0,cfbd
Muskingum,2022,5,5,0,cfbd
Muskingum,2023,4,6,0,cfbd
Muskingum,2024,5,5,0,cfbd
Muskingum,2025,4,6,0,cfbd
Muskingum,2026,0,0,0,cfbd
Navy,1935,280,116,33,manual
Navy,1936,6,3,0,cfbd
Navy,1937,4,4,1,cfbd
Navy,1938,4,3,2,cfbd
Navy,1939,3,5,1,cfbd
Navy,1940,6,2,1,cfbd
Navy,1941,7,1,1,cfbd
Navy,1942,5,4,0,cfbd
Navy,1943,8,1,0,cfbd
Navy,1944,6,3,0,cfbd
Navy,1945,7,1,1,cfbd
Navy,1946,1,8,0,cfbd
Navy,1947,1,7,1,cfbd
Navy,1948,0,8,1,cfbd
Navy,1949,3,5,1,cfbd
Navy,1950,3,6,0,cfbd
Navy,1951,2,6,1,cfbd
Navy,1952,6,2,1,cfbd
Navy,1953,4,3,2,cfbd
Navy,1954,8,2,0,cfbd
Navy,1955,6,2,1,cfbd
Navy,1956,6,1,2,cfbd
Navy,1957,9,1,1,cfbd
Navy,1958,6,3,0,cfbd
Navy,1959,5,4,1,cfbd
Navy,1960,9,2,0,cfbd
Navy,1961,7,3,0,cfbd
Navy,1962,5,5,0,cfbd
Navy,1963,9,2,0,cfbd
Navy,1964,3,6,1,cfbd
Navy,1965,4,4,2,cfbd
Navy,1966,4,6,0,cfbd
Navy,1967,5,4,1,cfbd
Navy,1968,2,8,0,cfbd
Navy,1969,1,9,0,cfbd
Navy,1970,2,9,0,cfbd
Navy,1971,3,8,0,cfbd
Navy,1972,4,7,0,cfbd
Navy,1973,4,7,0,cfbd
Navy,1974,4,7,0,cfbd
Navy,1975,7,4,0,cfbd
Navy,1976,4,7,0,cfbd
Navy,1977,5,6,0,cfbd
Navy,1978,9,3,0,cfbd
Navy,1979,7,4,0,cfbd
Navy,1980,8,4,0,cfbd
Navy,1981,7,4,1,cfbd
Navy,1982,6,5,0,cfbd
Navy,1983,3,8,0,cfbd
Navy,1984,4,6,1,cfbd
Navy,1985,4,7,0,cfbd
Navy,1986,3,8,0,cfbd
Navy,1987,2,9,0,cfbd
Navy,1988,3,8,0,cfbd
Navy,1989,3,8,0,cfbd
Navy,1990,5,6,0,cfbd
Navy,1991,1,10,0,cfbd
Navy,1992,1,10,0,cfbd
Navy,1993,4,7,0,cfbd
Navy,1994,3,8,0,cfbd
Navy,1995,5,6,0,cfbd
Navy,1996,9,3,0,cfbd
Navy,1997,7,4,0,cfbd
Navy,1998,3,8,0,cfbd
Navy,1999,5,7,0,cfbd
Navy,2000,1,10,0,cfbd
Navy,2001,0,10,0,cfbd
Navy,2002,2,10,0,cfbd
Navy,2003,8,5,0,cfbd
Navy,2004,10,2,0,cfbd
Navy,2005,8,4,0,cfbd
Navy,2006,9,4,0,cfbd
Navy,2007,8,5,0,cfbd
Navy,2008,8,5,0,cfbd
Navy,2009,10,4,0,cfbd
Navy,2010,9,4,0,cfbd
Navy,2011,5,7,0,cfbd
Navy,2012,8,5,0,cfbd
Navy,2013,9,4,0,cfbd
Navy,2014,8,5,0,cfbd
Navy,2015,11,2,0,cfbd
Navy,2016,9,5,0,cfbd
Navy,2017,7,6,0,cfbd
Navy,2018,3,10,0,cfbd
Navy,2019,11,2,0,cfbd
Navy,2020,3,7,0,cfbd
Navy,2021,4,8,0,cfbd
Navy,2022,4,8,0,cfbd
Navy,2023,5,7,0,cfbd
Navy,2024,10,3,0,cfbd
Navy,2025,11,2,0,cfbd
Navy,2026,0,0,0,cfbd
NC State,1936,3,7,0,cfbd
NC State,1937,5,3,1,cfbd
NC State,1938,3,7,1,cfbd
NC State,1939,2,8,0,cfbd
NC State,1940,3,6,0,cfbd
NC State,1941,4,5,2,cfbd
NC State,1942,4,4,2,cfbd
NC State,1943,3,6,0,cfbd
NC State,1944,7,2,0,cfbd
NC State,1945,3,6,0,cfbd
NC State,1946,8,3,0,cfbd
NC State,1947,5,3,1,cfbd
NC State,1948,3,6,1,cfbd
NC State,1949,3,7,0,cfbd
NC State,1950,5,4,1,cfbd
NC State,1951,3,7,0,cfbd
NC State,1952,3,7,0,cfbd
NC State,1953,1,9,0,cfbd
NC State,1954,2,8,0,cfbd
NC State,1955,4,5,1,cfbd
NC State,1956,3,7,0,cfbd
NC State,1957,7,1,2,cfbd
NC State,1958,2,7,1,cfbd
NC State,1959,1,9,0,cfbd
NC State,1960,6,3,1,cfbd
NC State,1961,4,6,0,cfbd
NC State,1962,3,6,1,cfbd
NC State,1963,8,3,0,cfbd
NC State,1964,5,5,0,cfbd
NC State,1965,6,4,0,cfbd
NC State,1966,5,5,0,cfbd
NC State,1967,9,2,0,cfbd
NC State,1968,6,4,0,cfbd
NC State,1969,3,6,1,cfbd
NC State,1970,3,7,1,cfbd
NC State,1971,3,8,0,cfbd
NC State,1972,8,3,1,cfbd
NC State,1973,9,3,0,cfbd
NC State,1974,9,2,1,cfbd
NC State,1975,7,4,1,cfbd
NC State,1976,3,7,1,cfbd
NC State,1977,8,4,0,cfbd
NC State,1978,9,3,0,cfbd
NC State,1979,7,4,0,cfbd
NC State,1980,6,5,0,cfbd
NC State,1981,4,7,0,cfbd
NC State,1982,6,5,0,cfbd
NC State,1983,3,8,0,cfbd
NC State,1984,3,8,0,cfbd
NC State,1985,3,8,0,cfbd
NC State,1986,8,3,1,cfbd
NC State,1987,4,7,0,cfbd
NC State,1988,8,3,1,cfbd
NC State,1989,7,5,0,cfbd
NC State,1990,7,5,0,cfbd
NC State,1991,9,3,0,cfbd
NC State,1992,9,3,1,cfbd
NC State,1993,7,5,0,cfbd
NC State,1994,9,3,0,cfbd
NC State,1995,3,8,0,cfbd
NC State,1996,3,8,0,cfbd
NC State,1997,6,5,0,cfbd
NC State,1998,7,5,0,cfbd
NC State,1999,6,6,0,cfbd
NC State,2000,8,4,0,cfbd
NC State,2001,7,5,0,cfbd
NC State,2002,11,3,0,cfbd
NC State,2003,8,5,0,cfbd
NC State,2004,5,6,0,cfbd
NC State,2005,7,5,0,cfbd
NC State,2006,3,9,0,cfbd
NC State,2007,5,7,0,cfbd
NC State,2008,6,7,0,cfbd
NC State,2009,5,7,0,cfbd
NC State,2010,9,4,0,cfbd
NC State,2011,8,5,0,cfbd
NC State,2012,7,6,0,cfbd
NC State,2013,3,9,0,cfbd
NC State,2014,8,5,0,cfbd
NC State,2015,7,6,0,cfbd
NC State,2016,7,6,0,cfbd
NC State,2017,9,4,0,cfbd
NC State,2018,9,4,0,cfbd
NC State,2019,4,8,0,cfbd
NC State,2020,8,4,0,cfbd
NC State,2021,9,3,0,cfbd
NC State,2022,8,5,0,cfbd
NC State,2023,9,4,0,cfbd
NC State,2024,6,7,0,cfbd
NC State,2025,8,5,0,cfbd
NC State,2026,0,0,0,cfbd
Nebraska,1935,258,88,26,manual
Nebraska,1936,7,2,0,cfbd
Nebraska,1937,6,1,2,cfbd
Nebraska,1938,3,5,1,cfbd
Nebraska,1939,7,1,1,cfbd
Nebraska,1940,8,2,0,cfbd
Nebraska,1941,4,5,0,cfbd
Nebraska,1942,3,7,0,cfbd
Nebraska,1943,2,6,0,cfbd
Nebraska,1944,2,6,0,cfbd
Nebraska,1945,4,5,0,cfbd
Nebraska,1946,3,6,0,cfbd
Nebraska,1947,2,7,0,cfbd
Nebraska,1948,2,8,0,cfbd
Nebraska,1949,4,5,0,cfbd
Nebraska,1950,6,2,1,cfbd
Nebraska,1951,1,8,1,cfbd
Nebraska,1952,5,4,1,cfbd
Nebraska,1953,3,6,1,cfbd
Nebraska,1954,6,5,0,cfbd
Nebraska,1955,5,5,0,cfbd
Nebraska,1956,4,6,0,cfbd
Nebraska,1957,1,9,0,cfbd
Nebraska,1958,3,7,0,cfbd
Nebraska,1959,4,6,0,cfbd
Nebraska,1960,4,6,0,cfbd
Nebraska,1961,3,6,1,cfbd
Nebraska,1962,9,2,0,cfbd
Nebraska,1963,10,1,0,cfbd
Nebraska,1964,9,2,0,cfbd
Nebraska,1965,10,1,0,cfbd
Nebraska,1966,9,2,0,cfbd
Nebraska,1967,6,4,0,cfbd
