school,season,wins,losses,ties,source
Alabama State,2001,0,0,0,cfbd
Alabama State,2002,0,0,0,cfbd
Alabama State,2003,1,1,0,cfbd
Alabama State,2004,1,0,0,cfbd
Alabama State,2005,0,0,0,cfbd
Alabama State,2006,0,1,0,cfbd
Alabama State,2007,5,6,0,cfbd
Alabama State,2008,3,8,0,cfbd
Alabama State,2009,4,7,0,cfbd
Alabama State,2010,6,4,0,cfbd
Alabama State,2011,8,3,0,cfbd
Alabama State,2012,7,4,0,cfbd
Alabama State,2013,8,3,0,cfbd
Alabama State,2014,7,5,0,cfbd
Alabama State,2015,5,5,0,cfbd
Alabama State,2016,4,7,0,cfbd
Alabama State,2017,5,6,0,cfbd
Alabama State,2018,3,7,0,cfbd
Alabama State,2019,5,6,0,cfbd
Alabama State,2020,3,3,0,cfbd
Alabama State,2021,5,6,0,cfbd
Alabama State,2022,6,5,0,cfbd
Alabama State,2023,7,4,0,cfbd
Alabama State,2024,7,5,0,cfbd
Alabama State,2025,10,2,0,cfbd
Alabama State,2026,0,0,0,cfbd
Alameda Coast Guard,1943,4,2,1,cfbd
Alameda Coast Guard,1944,4,2,2,cfbd
Albany State,2014,0,0,0,cfbd
Albany State,2015,0,0,0,cfbd
Albany State,2016,0,0,0,cfbd
Albany State,2017,0,0,0,cfbd
Albany State,2018,0,0,0,cfbd
Albany State,2019,0,0,0,cfbd
Albany State,2020,0,0,0,cfbd
Albany State,2021,9,2,0,cfbd
Albany State,2022,7,3,0,cfbd
Albany State,2023,6,5,0,cfbd
Albany State,2024,6,4,0,cfbd
Albany State,2025,12,2,0,cfbd
Albany State,2026,0,0,0,cfbd
Albion,2014,0,0,0,cfbd
Albion,2015,0,0,0,cfbd
Albion,2016,0,0,0,cfbd
Albion,2017,0,0,0,cfbd
Albion,2018,0,0,0,cfbd
Albion,2019,0,0,0,cfbd
Albion,2020,3,0,0,cfbd
Albion,2021,0,0,0,cfbd
Albion,2022,9,1,0,cfbd
Albion,2023,7,3,0,cfbd
Albion,2024,7,3,0,cfbd
Albion,2025,3,7,0,cfbd
Albion,2026,0,0,0,cfbd
Albright,2014,0,0,0,cfbd
Albright,2015,0,0,0,cfbd
Albright,2016,0,0,0,cfbd
Albright,2017,0,0,0,cfbd
Albright,2018,0,0,0,cfbd
Albright,2019,0,0,0,cfbd
Albright,2020,1,1,0,cfbd
Albright,2021,0,0,0,cfbd
Albright,2022,0,10,0,cfbd
Albright,2023,0,10,0,cfbd
Albright,2024,2,8,0,cfbd
Albright,2025,4,6,0,cfbd
Albright,2026,0,0,0,cfbd
Alcorn State,1936,0,0,0,cfbd
Alcorn State,1937,0,0,0,cfbd
Alcorn State,1938,0,0,0,cfbd
Alcorn State,1939,0,0,0,cfbd
Alcorn State,1940,0,0,0,cfbd
Alcorn State,1941,0,0,0,cfbd
Alcorn State,1942,0,0,0,cfbd
Alcorn State,1945,0,0,0,cfbd
Alcorn State,1946,0,0,0,cfbd
Alcorn State,1947,0,0,0,cfbd
Alcorn State,1948,0,0,0,cfbd
Alcorn State,1949,0,0,0,cfbd
Alcorn State,1950,0,0,0,cfbd
Alcorn State,1951,0,0,0,cfbd
Alcorn State,1952,0,0,0,cfbd
Alcorn State,1953,0,0,0,cfbd
Alcorn State,1954,0,0,0,cfbd
Alcorn State,1955,0,0,0,cfbd
Alcorn State,1956,0,0,0,cfbd
Alcorn State,1957,0,0,0,cfbd
Alcorn State,1958,0,0,0,cfbd
Alcorn State,1959,0,0,0,cfbd
Alcorn State,1960,0,0,0,cfbd
Alcorn State,1961,0,0,0,cfbd
Alcorn State,1962,0,0,0,cfbd
Alcorn State,1963,0,0,0,cfbd
Alcorn State,1965,0,0,0,cfbd
Alcorn State,1966,0,0,0,cfbd
Alcorn State,1967,0,0,0,cfbd
Alcorn State,1968,0,0,0,cfbd
Alcorn State,1969,0,0,0,cfbd
Alcorn State,1970,0,0,0,cfbd
Alcorn State,1971,0,0,0,cfbd
Alcorn State,1972,0,0,0,cfbd
Alcorn State,1973,0,0,0,cfbd
Alcorn State,1974,0,0,0,cfbd
Alcorn State,1975,0,0,0,cfbd
Alcorn State,1976,0,0,0,cfbd
Alcorn State,1977,3,8,0,cfbd
Alcorn State,1978,1,0,0,cfbd
Alcorn State,1979,0,0,0,cfbd
Alcorn State,1980,0,0,0,cfbd
Alcorn State,1981,0,0,0,cfbd
Alcorn State,1982,0,0,0,cfbd
Alcorn State,1983,0,0,0,cfbd
Alcorn State,1984,0,0,0,cfbd
Alcorn State,1985,0,0,0,cfbd
Alcorn State,1986,0,0,0,cfbd
Alcorn State,1987,0,0,0,cfbd
Alcorn State,1988,0,0,0,cfbd
Alcorn State,1989,0,0,0,cfbd
Alcorn State,1990,0,0,0,cfbd
Alcorn State,1991,0,0,0,cfbd
Alcorn State,1992,0,0,0,cfbd
Alcorn State,1993,0,0,0,cfbd
Alcorn State,1994,0,0,0,cfbd
Alcorn State,1995,0,0,0,cfbd
Alcorn State,1996,0,0,0,cfbd
Alcorn State,1997,0,0,0,cfbd
Alcorn State,1998,0,0,0,cfbd
Alcorn State,1999,0,0,0,cfbd
Alcorn State,2000,0,0,0,cfbd
Alcorn State,2001,0,0,0,cfbd
Alcorn State,2002,0,0,0,cfbd
Alcorn State,2003,1,1,0,cfbd
Alcorn State,2004,2,1,0,cfbd
Alcorn State,2005,0,1,0,cfbd
Alcorn State,2006,0,1,0,cfbd
Alcorn State,2007,2,8,0,cfbd
